sample	name	flowcell_id	treat	patient	desc
SLX-7239.D709_D505.C2FUJACXX.s_8	SLX-7239.D709_D505.C2FUJACXX.8	C2FUJACXX	Veh	TH-108	TH-108 V
SLX-7239.D709_D507.C2FTBACXX.s_1	SLX-7239.D709_D507.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FTBACXX.s_2	SLX-7239.D709_D507.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FTBACXX.s_3	SLX-7239.D709_D507.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FTBACXX.s_4	SLX-7239.D709_D507.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FUJACXX.s_5	SLX-7239.D709_D507.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FUJACXX.s_6	SLX-7239.D709_D507.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FUJACXX.s_7	SLX-7239.D709_D507.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D507.C2FUJACXX.s_8	SLX-7239.D709_D507.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-103	TH-103 ED
SLX-7239.D709_D508.C2FTBACXX.s_1	SLX-7239.D709_D508.C2FTBACXX.1	C2FTBACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FTBACXX.s_2	SLX-7239.D709_D508.C2FTBACXX.2	C2FTBACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FTBACXX.s_3	SLX-7239.D709_D508.C2FTBACXX.3	C2FTBACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FTBACXX.s_4	SLX-7239.D709_D508.C2FTBACXX.4	C2FTBACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FUJACXX.s_5	SLX-7239.D709_D508.C2FUJACXX.5	C2FUJACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FUJACXX.s_6	SLX-7239.D709_D508.C2FUJACXX.6	C2FUJACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FUJACXX.s_7	SLX-7239.D709_D508.C2FUJACXX.7	C2FUJACXX	DHT	TH-88	TH-88 D
SLX-7239.D709_D508.C2FUJACXX.s_8	SLX-7239.D709_D508.C2FUJACXX.8	C2FUJACXX	DHT	TH-88	TH-88 D
SLX-7239.D710_D502.C2FTBACXX.s_1	SLX-7239.D710_D502.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FTBACXX.s_2	SLX-7239.D710_D502.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FTBACXX.s_3	SLX-7239.D710_D502.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FTBACXX.s_4	SLX-7239.D710_D502.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FUJACXX.s_5	SLX-7239.D710_D502.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FUJACXX.s_6	SLX-7239.D710_D502.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FUJACXX.s_7	SLX-7239.D710_D502.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D502.C2FUJACXX.s_8	SLX-7239.D710_D502.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-104	TH-104 ED
SLX-7239.D710_D504.C2FTBACXX.s_1	SLX-7239.D710_D504.C2FTBACXX.1	C2FTBACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FTBACXX.s_2	SLX-7239.D710_D504.C2FTBACXX.2	C2FTBACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FTBACXX.s_3	SLX-7239.D710_D504.C2FTBACXX.3	C2FTBACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FTBACXX.s_4	SLX-7239.D710_D504.C2FTBACXX.4	C2FTBACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FUJACXX.s_5	SLX-7239.D710_D504.C2FUJACXX.5	C2FUJACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FUJACXX.s_6	SLX-7239.D710_D504.C2FUJACXX.6	C2FUJACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FUJACXX.s_7	SLX-7239.D710_D504.C2FUJACXX.7	C2FUJACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D504.C2FUJACXX.s_8	SLX-7239.D710_D504.C2FUJACXX.8	C2FUJACXX	DHT	TH-84	TH-84 D
SLX-7239.D710_D505.C2FTBACXX.s_1	SLX-7239.D710_D505.C2FTBACXX.1	C2FTBACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FTBACXX.s_2	SLX-7239.D710_D505.C2FTBACXX.2	C2FTBACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FTBACXX.s_3	SLX-7239.D710_D505.C2FTBACXX.3	C2FTBACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FTBACXX.s_4	SLX-7239.D710_D505.C2FTBACXX.4	C2FTBACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FUJACXX.s_5	SLX-7239.D710_D505.C2FUJACXX.5	C2FUJACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FUJACXX.s_6	SLX-7239.D710_D505.C2FUJACXX.6	C2FUJACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FUJACXX.s_7	SLX-7239.D710_D505.C2FUJACXX.7	C2FUJACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D505.C2FUJACXX.s_8	SLX-7239.D710_D505.C2FUJACXX.8	C2FUJACXX	Veh	TH-81	TH-81 V
SLX-7239.D710_D506.C2FTBACXX.s_1	SLX-7239.D710_D506.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FTBACXX.s_2	SLX-7239.D710_D506.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FTBACXX.s_3	SLX-7239.D710_D506.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FTBACXX.s_4	SLX-7239.D710_D506.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FUJACXX.s_5	SLX-7239.D710_D506.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FUJACXX.s_6	SLX-7239.D710_D506.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FUJACXX.s_7	SLX-7239.D710_D506.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D506.C2FUJACXX.s_8	SLX-7239.D710_D506.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-106	TH-106 ED
SLX-7239.D710_D507.C2FTBACXX.s_1	SLX-7239.D710_D507.C2FTBACXX.1	C2FTBACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FTBACXX.s_2	SLX-7239.D710_D507.C2FTBACXX.2	C2FTBACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FTBACXX.s_3	SLX-7239.D710_D507.C2FTBACXX.3	C2FTBACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FTBACXX.s_4	SLX-7239.D710_D507.C2FTBACXX.4	C2FTBACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FUJACXX.s_5	SLX-7239.D710_D507.C2FUJACXX.5	C2FUJACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FUJACXX.s_6	SLX-7239.D710_D507.C2FUJACXX.6	C2FUJACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FUJACXX.s_7	SLX-7239.D710_D507.C2FUJACXX.7	C2FUJACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D507.C2FUJACXX.s_8	SLX-7239.D710_D507.C2FUJACXX.8	C2FUJACXX	DHT	TH-82	TH-82 D
SLX-7239.D710_D508.C2FTBACXX.s_1	SLX-7239.D710_D508.C2FTBACXX.1	C2FTBACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FTBACXX.s_2	SLX-7239.D710_D508.C2FTBACXX.2	C2FTBACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FTBACXX.s_3	SLX-7239.D710_D508.C2FTBACXX.3	C2FTBACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FTBACXX.s_4	SLX-7239.D710_D508.C2FTBACXX.4	C2FTBACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FUJACXX.s_5	SLX-7239.D710_D508.C2FUJACXX.5	C2FUJACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FUJACXX.s_6	SLX-7239.D710_D508.C2FUJACXX.6	C2FUJACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FUJACXX.s_7	SLX-7239.D710_D508.C2FUJACXX.7	C2FUJACXX	E2	TH-81	TH-81 E
SLX-7239.D710_D508.C2FUJACXX.s_8	SLX-7239.D710_D508.C2FUJACXX.8	C2FUJACXX	E2	TH-81	TH-81 E
SLX-7239.D711_D501.C2FTBACXX.s_1	SLX-7239.D711_D501.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FTBACXX.s_2	SLX-7239.D711_D501.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FTBACXX.s_3	SLX-7239.D711_D501.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FTBACXX.s_4	SLX-7239.D711_D501.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FUJACXX.s_5	SLX-7239.D711_D501.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FUJACXX.s_6	SLX-7239.D711_D501.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FUJACXX.s_7	SLX-7239.D711_D501.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D501.C2FUJACXX.s_8	SLX-7239.D711_D501.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-107	TH-107 ED
SLX-7239.D711_D502.C2FTBACXX.s_1	SLX-7239.D711_D502.C2FTBACXX.1	C2FTBACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FTBACXX.s_2	SLX-7239.D711_D502.C2FTBACXX.2	C2FTBACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FTBACXX.s_3	SLX-7239.D711_D502.C2FTBACXX.3	C2FTBACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FTBACXX.s_4	SLX-7239.D711_D502.C2FTBACXX.4	C2FTBACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FUJACXX.s_5	SLX-7239.D711_D502.C2FUJACXX.5	C2FUJACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FUJACXX.s_6	SLX-7239.D711_D502.C2FUJACXX.6	C2FUJACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FUJACXX.s_7	SLX-7239.D711_D502.C2FUJACXX.7	C2FUJACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D502.C2FUJACXX.s_8	SLX-7239.D711_D502.C2FUJACXX.8	C2FUJACXX	DHT	TH-85	TH-85 D
SLX-7239.D711_D504.C2FTBACXX.s_1	SLX-7239.D711_D504.C2FTBACXX.1	C2FTBACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FTBACXX.s_2	SLX-7239.D711_D504.C2FTBACXX.2	C2FTBACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FTBACXX.s_3	SLX-7239.D711_D504.C2FTBACXX.3	C2FTBACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FTBACXX.s_4	SLX-7239.D711_D504.C2FTBACXX.4	C2FTBACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FUJACXX.s_5	SLX-7239.D711_D504.C2FUJACXX.5	C2FUJACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FUJACXX.s_6	SLX-7239.D711_D504.C2FUJACXX.6	C2FUJACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FUJACXX.s_7	SLX-7239.D711_D504.C2FUJACXX.7	C2FUJACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D504.C2FUJACXX.s_8	SLX-7239.D711_D504.C2FUJACXX.8	C2FUJACXX	Veh	TH-89	TH-89 V
SLX-7239.D711_D505.C2FTBACXX.s_1	SLX-7239.D711_D505.C2FTBACXX.1	C2FTBACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FTBACXX.s_2	SLX-7239.D711_D505.C2FTBACXX.2	C2FTBACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FTBACXX.s_3	SLX-7239.D711_D505.C2FTBACXX.3	C2FTBACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FTBACXX.s_4	SLX-7239.D711_D505.C2FTBACXX.4	C2FTBACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FUJACXX.s_5	SLX-7239.D711_D505.C2FUJACXX.5	C2FUJACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FUJACXX.s_6	SLX-7239.D711_D505.C2FUJACXX.6	C2FUJACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FUJACXX.s_7	SLX-7239.D711_D505.C2FUJACXX.7	C2FUJACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D505.C2FUJACXX.s_8	SLX-7239.D711_D505.C2FUJACXX.8	C2FUJACXX	E2	TH-106	TH-106 E
SLX-7239.D711_D506.C2FTBACXX.s_1	SLX-7239.D711_D506.C2FTBACXX.1	C2FTBACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FTBACXX.s_2	SLX-7239.D711_D506.C2FTBACXX.2	C2FTBACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FTBACXX.s_3	SLX-7239.D711_D506.C2FTBACXX.3	C2FTBACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FTBACXX.s_4	SLX-7239.D711_D506.C2FTBACXX.4	C2FTBACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FUJACXX.s_5	SLX-7239.D711_D506.C2FUJACXX.5	C2FUJACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FUJACXX.s_6	SLX-7239.D711_D506.C2FUJACXX.6	C2FUJACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FUJACXX.s_7	SLX-7239.D711_D506.C2FUJACXX.7	C2FUJACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D506.C2FUJACXX.s_8	SLX-7239.D711_D506.C2FUJACXX.8	C2FUJACXX	E2+DHT	TH-82	TH-82 ED
SLX-7239.D711_D507.C2FTBACXX.s_1	SLX-7239.D711_D507.C2FTBACXX.1	C2FTBACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FTBACXX.s_2	SLX-7239.D711_D507.C2FTBACXX.2	C2FTBACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FTBACXX.s_3	SLX-7239.D711_D507.C2FTBACXX.3	C2FTBACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FTBACXX.s_4	SLX-7239.D711_D507.C2FTBACXX.4	C2FTBACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FUJACXX.s_5	SLX-7239.D711_D507.C2FUJACXX.5	C2FUJACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FUJACXX.s_6	SLX-7239.D711_D507.C2FUJACXX.6	C2FUJACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FUJACXX.s_7	SLX-7239.D711_D507.C2FUJACXX.7	C2FUJACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D507.C2FUJACXX.s_8	SLX-7239.D711_D507.C2FUJACXX.8	C2FUJACXX	Veh	TH-88	TH-88 V
SLX-7239.D711_D508.C2FTBACXX.s_1	SLX-7239.D711_D508.C2FTBACXX.1	C2FTBACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FTBACXX.s_2	SLX-7239.D711_D508.C2FTBACXX.2	C2FTBACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FTBACXX.s_3	SLX-7239.D711_D508.C2FTBACXX.3	C2FTBACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FTBACXX.s_4	SLX-7239.D711_D508.C2FTBACXX.4	C2FTBACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FUJACXX.s_5	SLX-7239.D711_D508.C2FUJACXX.5	C2FUJACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FUJACXX.s_6	SLX-7239.D711_D508.C2FUJACXX.6	C2FUJACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FUJACXX.s_7	SLX-7239.D711_D508.C2FUJACXX.7	C2FUJACXX	E2	TH-83	TH-83 E
SLX-7239.D711_D508.C2FUJACXX.s_8	SLX-7239.D711_D508.C2FUJACXX.8	C2FUJACXX	E2	TH-83	TH-83 E
SLX-7239.D712_D502.C2FTBACXX.s_1	SLX-7239.D712_D502.C2FTBACXX.1	C2FTBACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FTBACXX.s_2	SLX-7239.D712_D502.C2FTBACXX.2	C2FTBACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FTBACXX.s_3	SLX-7239.D712_D502.C2FTBACXX.3	C2FTBACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FTBACXX.s_4	SLX-7239.D712_D502.C2FTBACXX.4	C2FTBACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FUJACXX.s_5	SLX-7239.D712_D502.C2FUJACXX.5	C2FUJACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FUJACXX.s_6	SLX-7239.D712_D502.C2FUJACXX.6	C2FUJACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FUJACXX.s_7	SLX-7239.D712_D502.C2FUJACXX.7	C2FUJACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D502.C2FUJACXX.s_8	SLX-7239.D712_D502.C2FUJACXX.8	C2FUJACXX	E2	TH-107	TH-107 E
SLX-7239.D712_D503.C2FTBACXX.s_1	SLX-7239.D712_D503.C2FTBACXX.1	C2FTBACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FTBACXX.s_2	SLX-7239.D712_D503.C2FTBACXX.2	C2FTBACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FTBACXX.s_3	SLX-7239.D712_D503.C2FTBACXX.3	C2FTBACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FTBACXX.s_4	SLX-7239.D712_D503.C2FTBACXX.4	C2FTBACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FUJACXX.s_5	SLX-7239.D712_D503.C2FUJACXX.5	C2FUJACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FUJACXX.s_6	SLX-7239.D712_D503.C2FUJACXX.6	C2FUJACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FUJACXX.s_7	SLX-7239.D712_D503.C2FUJACXX.7	C2FUJACXX	Veh	TH-105	TH-105 V
SLX-7239.D712_D503.C2FUJACXX.s_8	SLX-7239.D712_D503.C2FUJACXX.8	C2FUJACXX	Veh	TH-105	TH-105 V
