"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.B_cells","log2fold_change","Auc"
"118","CD74","hurdle",5.86342263400499e-34,0.719121,2.220029,1.500908,0.911
"278","HLA-DRA","hurdle",1.16317030501793e-34,-0.1260448,1.8505844,1.9766292,0.896
"109","CD37","hurdle",1.26644805530331e-54,-1.467379,1.330213,2.797592,0.896
"425","MS4A1","hurdle",4.06940624560633e-81,-3.182419,1.020636,4.203055,0.876
"273","HLA-DPB1","hurdle",3.04073616997255e-29,-0.4368143,1.4279521,1.8647664,0.862
"274","HLA-DQA1","hurdle",1.71118596495215e-35,-1.202476,1.272411,2.474887,0.861
"364","LAPTM5","hurdle",1.20885740538823e-27,-1.061245,1.048873,2.110118,0.829
"272","HLA-DPA1","hurdle",2.50074560444835e-23,-0.3994454,1.3416285,1.7410739,0.824
"279","HLA-DRB1","hurdle",2.3787462048422e-21,-0.04229971,1.50328406,1.54558377,0.818
"123","CD83","hurdle",5.78710055088099e-35,-1.8191985,0.9881489,2.8073474,0.811
"119","CD79A","hurdle",1.50633494071098e-64,-3.0668521,0.8041682,3.8710203,0.808
"280","HLA-DRB5","hurdle",1.60354706307193e-21,-0.7506223,1.0762251,1.8268474,0.795
"276","HLA-DQB1","hurdle",3.49293758587651e-22,-1.1780576,0.8163956,1.9944532,0.784
"115","CD69","hurdle",5.0630206213628e-17,-0.792525,1.068687,1.861212,0.769
"387","LTB","hurdle",1.15495871820933e-22,-1.793672,0.603684,2.397356,0.756
"76","BTG1","hurdle",1.52660252206429e-14,0.948199,1.600446,0.652247,0.75
"542","REL","hurdle",1.60059216463403e-16,-0.6312655,0.7646401,1.3959056,0.742
"730","TSC22D3","hurdle",9.88214689822035e-12,0.5189374,1.3393446,0.8204072,0.739
"448","NR4A2","hurdle",3.55223010789978e-16,-0.3048805,1.0431478,1.3480283,0.737
"112","CD52","hurdle",3.25484552173977e-14,-0.6822014,0.8599924,1.5421938,0.732
"62","BANK1","hurdle",9.35492552323438e-51,-3.27626519,0.004443005,3.280708195,0.728
"646","SMCHD1","hurdle",1.83395731709951e-14,-1.21921,0.3437013,1.5629113,0.707
"749","VPREB3","hurdle",4.93881423087266e-41,-3.2929129,-0.2720936,3.0208193,0.704
"169","CXCR4","hurdle",2.92994815667225e-11,0.07679294,1.20719065,1.13039771,0.698
"435","NCF1","hurdle",7.92092510664764e-20,-2.5917284,-0.1534466,2.4382818,0.694
"528","RAC2","hurdle",4.65185567643562e-12,-1.4549365,0.1972772,1.6522137,0.686
"443","NFKBID","hurdle",1.23937561687442e-23,-2.1717202,0.1437389,2.3154591,0.686
"114","CD55","hurdle",2.92460825637173e-18,-0.7225192,0.6150088,1.337528,0.686
"227","FCMR","hurdle",1.50768649967775e-19,-2.5751951,-0.1395182,2.4356769,0.684
"336","IRF8","hurdle",1.50632629527798e-22,-2.7917659,-0.2333798,2.5583861,0.682
"268","HLA-DMA","hurdle",2.09236291452759e-10,-1.217846,0.2327431,1.4505891,0.679
"275","HLA-DQA2","hurdle",1.00379625757262e-14,-2.0455525,0.1058363,2.1513888,0.678
"191","DUSP2","hurdle",8.62698616061718e-09,-0.5637106,0.7317706,1.2954812,0.677
"253","GPR183","hurdle",7.30269262784262e-10,-1.5633034,0.06025415,1.62355755,0.673
"371","LIMD2","hurdle",4.71777503583327e-11,-1.8119796,-0.0816244,1.7303552,0.669
"407","MEF2C","hurdle",3.96668074135214e-13,-1.569877,0.05592027,1.62579727,0.666
"428","MTRNR2L12","hurdle",7.62406284255493e-06,0.6854108,1.2384334,0.5530226,0.664
"503","POU2F2","hurdle",6.1039842756488e-20,-2.9110716,-0.4124078,2.4986638,0.661
"703","TMEM243","hurdle",1.11143075970313e-13,-1.5521852,-0.03166078,1.52052442,0.66
"101","CCR7","hurdle",1.7384931981544e-11,-2.12339918,-0.06510313,2.05829605,0.66
"153","CORO1A","hurdle",2.03431654161159e-08,-1.4198866,0.01640759,1.43629419,0.659
"376","LINC00926","hurdle",2.82726561199269e-27,-3.1247245,-0.5253187,2.5994058,0.656
"269","HLA-DMB","hurdle",3.34679985651661e-11,-2.2021052,-0.4075568,1.7945484,0.651
"174","CYBA","hurdle",2.9935417743932e-10,-0.8348009,0.3590684,1.1938693,0.651
"506","PPP1R15A","hurdle",4.96976355375477e-07,0.3845476,0.9763152,0.5917676,0.649
"113","CD53","hurdle",4.40333624055366e-07,-1.41449357,-0.06638545,1.34810812,0.649
"390","LY9","hurdle",1.37649339408965e-17,-2.9875638,-0.4907572,2.4968066,0.64
"111","CD48","hurdle",6.15018828151449e-07,-1.527604,-0.1805629,1.3470411,0.64
"107","CD22","hurdle",9.11964977721637e-26,-3.2673266,-0.7757422,2.4915844,0.637
"615","SELL","hurdle",1.84202326902815e-08,-2.1161332,-0.4761238,1.6400094,0.636
"551","RHOH","hurdle",1.37935337920472e-06,-1.4474063,-0.1155119,1.3318944,0.636
"11","ACAP1","hurdle",6.8532619980103e-08,-1.7382492,-0.2922396,1.4460096,0.634
"673","STK4","hurdle",3.55509074367156e-06,-0.7815612,0.2180168,0.999578,0.632
"207","EZR","hurdle",4.0463414852881e-07,-0.1345041,0.6160383,0.7505424,0.631
"266","HERPUD1","hurdle",4.73904195304957e-08,-0.1461279,0.5802778,0.7264057,0.63
"254","GPSM3","hurdle",1.59612599190808e-07,-1.6760014,-0.2967556,1.3792458,0.63
"104","CD19","hurdle",6.63218034442083e-28,-3.2940633,-0.8053215,2.4887418,0.63
"67","BCL2A1","hurdle",3.76129086839333e-11,-2.5853215,-0.4373138,2.1480077,0.63
"15","ADAM28","hurdle",3.55152240174276e-17,-2.990033,-0.690835,2.299198,0.63
"373","LINC-PINT","hurdle",1.18768219763733e-07,-1.3780597,-0.1044594,1.2736003,0.629
"388","LY86","hurdle",3.53860512191608e-13,-2.8897076,-0.7558277,2.1338799,0.628
"386","LSP1","hurdle",2.01693151786815e-05,-1.4774562,-0.3256415,1.1518147,0.628
"36","ANKRD44","hurdle",3.51013797162447e-08,-2.3375933,-0.6337727,1.7038206,0.625
"671","STK17A","hurdle",6.11073925162189e-08,-1.53911,-0.223273,1.315837,0.624
"619","SEPT6","hurdle",1.79205845235023e-07,-1.503026,-0.2249268,1.2780992,0.624
"120","CD79B","hurdle",3.20399398092461e-13,-2.6911716,-0.7581895,1.9329821,0.624
"70","BIRC3","hurdle",3.50887714287775e-05,-0.7599443,0.2596889,1.0196332,0.624
"760","YPEL5","hurdle",6.43311269921233e-07,-0.2915374,0.5082508,0.7997882,0.623
"400","MARCH1","hurdle",6.59881495342612e-15,-3.0366807,-0.8477173,2.1889634,0.623
"201","EPC1","hurdle",4.60706895433629e-10,-0.7832127,0.2234076,1.0066203,0.623
"708","TNFRSF13C","hurdle",4.56254455607612e-24,-3.284665,-0.9816101,2.3030549,0.622
"328","IL2RG","hurdle",1.93641036351053e-06,-1.4199312,-0.3010896,1.1188416,0.622
"210","FAM129C","hurdle",2.7278231972732e-24,-3.301724,-0.8401104,2.4616136,0.622
"287","HVCN1","hurdle",7.52428484615588e-17,-2.973398,-0.778746,2.194652,0.619
"323","IL16","hurdle",1.32636081055823e-11,-2.8083284,-0.8957475,1.9125809,0.617
"154","COTL1","hurdle",1.64786251572321e-05,-1.0059892,-0.1164959,0.8894933,0.616
"122","CD82","hurdle",1.98784719470006e-11,-1.8000241,-0.3141879,1.4858362,0.615
"522","PTPRC","hurdle",1.83394111803997e-05,-0.695573,0.1504875,0.8460605,0.614
"46","ARHGAP24","hurdle",3.10068954619248e-14,-2.7804147,-0.7373398,2.0430749,0.613
"391","LYN","hurdle",3.61857237626098e-14,-2.758154,-0.7099588,2.0481952,0.612
"594","RP5-1171I10.5","hurdle",3.25600880551488e-10,-2.8307021,-0.8544654,1.9762367,0.611
"35","ANKRD37","hurdle",2.00960557186946e-09,-1.30802196,-0.01048428,1.29753768,0.611
"686","TAGAP","hurdle",6.52059217105376e-05,-1.785773,-0.432707,1.353066,0.609
"705","TNF","hurdle",8.1875691322071e-08,-2.081916,-0.568169,1.513747,0.608
"511","PRKCB","hurdle",5.12426821473038e-08,-2.779599,-1.054861,1.724738,0.608
"329","INPP5D","hurdle",2.19877180271525e-08,-2.5809186,-0.8624329,1.7184857,0.608
"291","IGHA1","hurdle",9.63862691052555e-13,-2.4852669,-0.5255489,1.959718,0.606
"232","FCRLA","hurdle",1.61911780533574e-21,-3.304215,-1.177841,2.126374,0.606
"228","FCRL1","hurdle",6.73604715441278e-20,-3.311578,-1.11052,2.201058,0.606
"223","FCER2","hurdle",1.74044251770584e-18,-3.309285,-1.167977,2.141308,0.606
"71","BLK","hurdle",2.91655822605324e-22,-3.304378,-1.080827,2.223551,0.606
"23","AIM2","hurdle",1.5199338891898e-09,-2.997561,-1.020977,1.976584,0.606
"604","RSRP1","hurdle",3.4721117715617e-07,-0.2103568,0.3950193,0.6053761,0.605
"251","GPBP1","hurdle",1.41266000489813e-06,-0.4328837,0.2895664,0.7224501,0.605
"179","CYTIP","hurdle",1.89317002014865e-05,-1.0705524,-0.1525071,0.9180453,0.605
"8","AC079767.4","hurdle",6.0933861784127e-20,-3.292812,-1.059297,2.233515,0.605
"672","STK17B","hurdle",0.000244028784642618,-1.3902326,-0.4208481,0.9693845,0.603
"663","SSH2","hurdle",7.23270167427513e-07,-2.066173,-0.6878003,1.3783727,0.603
"620","SERPINB9","hurdle",8.1223393653848e-06,-2.1105802,-0.7142531,1.3963271,0.603
"488","PIM2","hurdle",9.85161320633055e-06,-2.1487789,-0.7192127,1.4295662,0.603
"365","LAT2","hurdle",6.72208558975529e-08,-2.935862,-1.069022,1.86684,0.603
"675","SWAP70","hurdle",5.39282250471096e-08,-1.5324081,-0.4162284,1.1161797,0.602
"143","CMTM6","hurdle",2.01380632581241e-07,-0.85129126,-0.01252772,0.83876354,0.601
"541","RCSD1","hurdle",3.9142655611611e-06,-2.3595162,-0.9760646,1.3834516,0.598
"167","CTSS","hurdle",2.88362086248456e-05,-1.6108657,-0.4807881,1.1300776,0.598
"295","IGHM","hurdle",2.12062695885936e-11,-2.8036423,-0.6036153,2.200027,0.597
"478","PDE7A","hurdle",1.32805801075117e-08,-2.3523996,-0.7507586,1.601641,0.594
"142","CLECL1","hurdle",5.45769921873113e-11,-3.16039,-1.288953,1.871437,0.594
"706","TNFAIP8","hurdle",5.73543669856751e-06,-1.9628229,-0.6701724,1.2926505,0.592
"699","TMC8","hurdle",8.47854347587084e-07,-2.759823,-1.1824,1.577423,0.591
"707","TNFRSF13B","hurdle",2.23585401533073e-15,-3.308391,-1.297644,2.010747,0.59
"311","IGKV3-20","hurdle",7.01389988072687e-13,-2.6740719,-0.4589836,2.2150883,0.588
"224","FCGR2B","hurdle",6.80714129772229e-10,-2.948726,-1.055701,1.893025,0.588
"614","SEL1L3","hurdle",4.5976871844574e-08,-2.958084,-1.188365,1.769719,0.586
"492","PLCG2","hurdle",4.36068031631512e-07,-2.562118,-1.049493,1.512625,0.586
"189","DRAM2","hurdle",1.07791017573683e-09,-1.5174869,-0.4346879,1.082799,0.585
"77","BTK","hurdle",1.30591589965043e-08,-3.171554,-1.525202,1.646352,0.585
"271","HLA-DOB","hurdle",8.230050623899e-11,-3.149009,-1.342554,1.806455,0.584
"640","SLC2A3","hurdle",0.00369794405605257,-0.5034433,0.134145,0.6375883,0.583
"438","NCOA3","hurdle",1.042150949133e-08,-2.1120234,-0.6779559,1.4340675,0.583
"117","CD72","hurdle",6.32544194562819e-09,-3.110248,-1.370733,1.739515,0.583
"649","SNHG12","hurdle",2.01331331454593e-05,-1.1950026,-0.2624673,0.9325353,0.582
"547","RGS2","hurdle",0.0118859227143189,-1.1732647,-0.3218487,0.851416,0.582
"439","NCR3","hurdle",1.07753743978222e-05,-2.905801,-1.354203,1.551598,0.581
"220","FAM65B","hurdle",0.000168503256834106,-2.497986,-1.274545,1.223441,0.581
"752","VPS37B","hurdle",4.00249130494772e-05,-1.7094733,-0.6017593,1.107714,0.58
"591","RP11-796E2.4","hurdle",3.47323206972603e-05,-2.509434,-1.16556,1.343874,0.58
"286","HSH2D","hurdle",6.92783530122681e-06,-2.695798,-1.241719,1.454079,0.58
"502","POU2AF1","hurdle",6.10691301919635e-10,-3.202944,-1.446254,1.75669,0.579
"63","BASP1","hurdle",3.30384508700679e-08,-2.4171739,-0.9948371,1.4223368,0.578
"467","PARP15","hurdle",9.15750011400321e-10,-3.137637,-1.341167,1.79647,0.577
"352","KIAA0125","hurdle",2.57015404794359e-07,-3.113348,-1.346797,1.766551,0.577
"37","ANXA6","hurdle",0.0002896585242047,-1.1534329,-0.4216818,0.7317511,0.577
"753","WAS","hurdle",0.000497904209230483,-2.567414,-1.251967,1.315447,0.576
"461","P2RY10","hurdle",0.000366649163484021,-2.449827,-1.227333,1.222494,0.575
"384","LPXN","hurdle",0.000815801738758222,-2.367308,-1.133896,1.233412,0.575
"243","GLA","hurdle",1.65430357366199e-11,-1.6707495,-0.2873044,1.3834451,0.575
"78","BTLA","hurdle",1.41430662801902e-06,-2.995165,-1.344917,1.650248,0.575
"595","RP5-887A10.1","hurdle",2.27082774931135e-14,-3.308523,-1.514612,1.793911,0.573
"292","IGHD","hurdle",2.10241890562539e-14,-3.301263,-1.248426,2.052837,0.573
"247","GNG7","hurdle",4.74357690198338e-09,-2.785808,-1.240436,1.545372,0.573
"183","DENND4A","hurdle",1.65805377527753e-06,-2.3103623,-0.9421873,1.368175,0.573
"740","UCP2","hurdle",8.96837872141625e-05,-1.5611049,-0.5988527,0.9622522,0.572
"702","TMEM156","hurdle",8.66429367471492e-05,-2.922494,-1.373344,1.54915,0.572
"608","SASH3","hurdle",4.19133089239104e-05,-2.951846,-1.459859,1.491987,0.572
"504","PPM1K","hurdle",1.44720846098513e-07,-2.0005359,-0.7071165,1.2934194,0.572
"353","KIAA0226L","hurdle",8.2882457297272e-11,-3.239502,-1.53586,1.703642,0.571
"116","CD70","hurdle",4.70582464240534e-10,-3.187095,-1.381891,1.805204,0.571
"108","CD27","hurdle",0.000395990568167191,-2.327073,-1.102651,1.224422,0.571
"18","ADGRE5","hurdle",6.05033656404085e-05,-1.8855732,-0.6951558,1.1904174,0.571
"573","RP11-231C14.7","hurdle",2.60461036636833e-10,-3.23548,-1.631154,1.604326,0.57
"307","IGKC","hurdle",4.82368999860699e-05,-0.4682157,0.4165562,0.8847719,0.57
"655","SP100","hurdle",7.52532932486783e-05,-1.1439033,-0.3780159,0.7658874,0.569
"368","LCP1","hurdle",0.00242933082811303,-1.5777436,-0.7683057,0.8094379,0.569
"110","CD40","hurdle",6.91702682233379e-08,-2.1209389,-0.9434876,1.1774513,0.569
"66","BCL11A","hurdle",1.57975253710528e-11,-3.206057,-1.436217,1.76984,0.569
"617","SEMA7A","hurdle",7.75415699560467e-07,-3.155959,-1.657726,1.498233,0.568
"72","BLNK","hurdle",6.64464102629756e-09,-2.838939,-1.364755,1.474184,0.568
"558","RNASET2","hurdle",9.77351853088108e-05,-0.9896865,-0.2739063,0.7157802,0.567
"361","KYNU","hurdle",1.12023180591734e-05,-2.733656,-1.392531,1.341125,0.567
"58","ATP2A3","hurdle",6.40772751254609e-06,-2.718821,-1.372399,1.346422,0.567
"470","PAX5","hurdle",4.13272815249043e-12,-3.321928,-1.694286,1.627642,0.566
"337","ISG20","hurdle",0.00564111254705464,-0.9328362,-0.2432707,0.6895655,0.566
"529","RALGPS2","hurdle",8.66529361905888e-09,-2.1204469,-0.8950882,1.2253587,0.565
"25","AL928768.3","hurdle",7.82157581960592e-14,-3.312389,-1.361277,1.951112,0.565
"701","TMEM154","hurdle",0.000376389888082345,-2.791327,-1.561566,1.229761,0.564
"554","RILPL2","hurdle",2.46798418323925e-06,-1.418536,-0.4689019,0.9496341,0.564
"546","RGS19","hurdle",4.84398072296258e-06,-2.240328,-1.086778,1.15355,0.563
"334","IRF4","hurdle",0.000184991312054221,-2.849436,-1.481826,1.36761,0.563
"194","EBF1","hurdle",0.000379444881976287,-2.081729,-1.09142,0.990309,0.563
"523","PTPRCAP","hurdle",0.0021948827716024,-2.764535,-1.495655,1.26888,0.562
"293","IGHG1","hurdle",0.00399452657854914,-1.606873,-0.898596,0.708277,0.562
"41","APBB1IP","hurdle",0.00313121549371639,-2.407344,-1.292061,1.115283,0.562
"610","SCIMP","hurdle",2.73130497609238e-07,-3.185394,-1.754039,1.431355,0.561
"270","HLA-DOA","hurdle",1.01954186700622e-05,-2.970642,-1.719899,1.250743,0.561
"250","GPATCH3","hurdle",2.15330311935718e-09,-2.832062,-1.227304,1.604758,0.561
"241","GAPT","hurdle",4.97870745433609e-06,-3.184437,-1.794545,1.389892,0.561
"481","PHACTR1","hurdle",5.25526476064635e-06,-2.662466,-1.245719,1.416747,0.56
"457","OSBPL8","hurdle",0.000204114487050925,-1.4357949,-0.6525686,0.7832263,0.56
"359","KMT2E","hurdle",3.56003548040712e-06,-0.47274526,0.03702701,0.50977227,0.56
"175","CYBB","hurdle",0.000647094883096099,-2.808858,-1.616266,1.192592,0.56
"65","BCAS4","hurdle",4.37121921695837e-06,-2.11739,-1.13846,0.97893,0.56
"51","ARL4A","hurdle",0.0031340927514631,-1.1839089,-0.4731852,0.7107237,0.56
"724","TRIM22","hurdle",0.00104435700953918,-1.7279321,-0.7986799,0.9292522,0.559
"710","TNFSF9","hurdle",0.000336002418262332,-2.79487,-1.441333,1.353537,0.559
"367","LBH","hurdle",0.0276633676185978,-1.314672,-0.623571,0.691101,0.559
"206","EVI2B","hurdle",0.0185188392116231,-2.090547,-1.166947,0.9236,0.559
"13","ACTR3","hurdle",2.3670852946592e-07,-0.7395994,-0.1091643,0.6304351,0.559
"420","MOB1A","hurdle",7.99605080789864e-09,-1.352623,-0.4642984,0.8883246,0.558
"100","CCR6","hurdle",0.00104623260708947,-2.698723,-1.420284,1.278439,0.558
"674","STX7","hurdle",4.83336863687181e-09,-2.0253771,-0.8319317,1.1934454,0.557
"588","RP11-624C23.1","hurdle",8.64350139479989e-11,-3.310756,-1.569161,1.741595,0.557
"533","RASGRP2","hurdle",9.94345328202273e-05,-2.55531,-1.269068,1.286242,0.557
"520","PTPN6","hurdle",9.8412533372358e-05,-2.427563,-1.218996,1.208567,0.557
"436","NCF4","hurdle",0.00437645650453384,-2.738034,-1.712688,1.025346,0.557
"47","ARHGAP25","hurdle",0.0172807116120407,-2.774603,-1.720344,1.054259,0.557
"689","TBC1D10C","hurdle",0.00828881436881974,-2.448885,-1.46845,0.980435,0.556
"621","SESN3","hurdle",0.00138876123667384,-2.309005,-1.262393,1.046612,0.556
"246","GNB5","hurdle",0.000582424584508743,-2.411554,-1.336668,1.074886,0.556
"170","CXCR5","hurdle",1.86982624875166e-05,-3.288519,-1.974995,1.313524,0.556
"28","ALOX5","hurdle",7.92029912269425e-05,-2.851747,-1.73399,1.117757,0.556
"314","IGLC3","hurdle",0.000894986288692673,-2.2635711,-0.9995463,1.2640248,0.555
"310","IGKV3-15","hurdle",4.53189006672566e-09,-3.210358,-1.307586,1.902772,0.555
"791","ZNRD1","hurdle",1.45701934888017e-07,-1.6092972,-0.6248915,0.9844057,0.554
"660","SPIB","hurdle",1.44485281901684e-07,-3.238522,-1.769867,1.468655,0.554
"657","SP140","hurdle",0.0226017426543491,-2.588722,-1.545976,1.042746,0.554
"468","PARVG","hurdle",0.00325576214533516,-2.684494,-1.733741,0.950753,0.554
"715","TRA2B","hurdle",0.000148415540131436,-0.743276,-0.2204499,0.5228261,0.553
"231","FCRL5","hurdle",1.42930808724321e-05,-3.176636,-1.876706,1.29993,0.553
"198","ELF1","hurdle",0.00538842179295835,-0.43620327,0.06552835,0.50173162,0.553
"29","AMD1","hurdle",0.00122609911731977,-0.824035,-0.2493834,0.5746516,0.553
"776","ZNF10","hurdle",0.000158609958235894,-2.309859,-1.13877,1.171089,0.552
"769","ZCCHC7","hurdle",4.6207556610133e-08,-1.9515359,-0.8288302,1.1227057,0.552
"683","TAF1D","hurdle",7.13553716717719e-05,-0.7718995,-0.2150153,0.5568842,0.552
"677","SYK","hurdle",4.53925942781726e-07,-3.028846,-1.713168,1.315678,0.552
"429","MTSS1","hurdle",2.7097866023081e-07,-2.364207,-1.132099,1.232108,0.552
"200","EMP3","hurdle",0.0150566392061891,-1.120503,-0.465876,0.654627,0.552
"61","BACH2","hurdle",1.4329047336459e-05,-2.894435,-1.494585,1.39985,0.552
"59","ATP2B1","hurdle",0.000202525478294945,-1.3023377,-0.5567283,0.7456094,0.552
"49","ARHGAP9","hurdle",0.0285400006151864,-2.289395,-1.388373,0.901022,0.552
"281","HLA-F","hurdle",0.00479030874487239,-1.2120118,-0.5478868,0.664125,0.551
"177","CYSLTR1","hurdle",0.00725047523816063,-2.345984,-1.42747,0.918514,0.551
"667","STAG3","hurdle",5.46842739692874e-05,-3.104386,-2.01139,1.092996,0.55
"235","FNBP1","hurdle",0.00229116228889051,-1.6780011,-0.9052691,0.772732,0.55
"159","CSK","hurdle",0.0122856188732017,-2.360428,-1.445212,0.915216,0.55
"74","BOD1L1","hurdle",1.50769526537647e-07,-1.8663087,-0.8523398,1.0139689,0.55
"773","ZHX2","hurdle",1.43878079983349e-05,-2.749575,-1.449755,1.29982,0.549
"531","RASGEF1B","hurdle",0.0112822027461006,-2.404015,-1.397953,1.006062,0.549
"345","KBTBD8","hurdle",0.000944853699315166,-3.022634,-1.834422,1.188212,0.549
"327","IL2RA","hurdle",6.55470115958427e-05,-2.918612,-1.738835,1.179777,0.549
"199","EML4","hurdle",0.000454169973797197,-1.3601738,-0.5254757,0.8346981,0.549
"698","TLR10","hurdle",1.44405226665417e-06,-3.273714,-2.033298,1.240416,0.548
"451","NRROS","hurdle",2.39545651161594e-05,-3.05794,-1.72519,1.33275,0.548
"313","IGLC2","hurdle",0.0237628723419459,-1.3043058,-0.5113016,0.7930042,0.548
"300","IGHV3-23","hurdle",1.99060828339486e-07,-3.254037,-1.778938,1.475099,0.548
"288","ICAM3","hurdle",0.0054324315415904,-1.865113,-1.092894,0.772219,0.548
"161","CTB-133G6.1","hurdle",7.11324373922041e-07,-3.256523,-1.726855,1.529668,0.548
"88","C1orf186","hurdle",5.07156614363416e-10,-3.284339,-1.714573,1.569766,0.548
"60","ATP6V0C","hurdle",4.17191662341851e-06,-0.54675709,0.01109737,0.55785446,0.548
"550","RHOF","hurdle",0.00542804408596484,-2.519665,-1.463366,1.056299,0.547
"454","ODC1","hurdle",0.00140098936562934,-1.6463384,-0.8566949,0.7896435,0.547
"356","KIAA1551","hurdle",0.0438618907997361,-1.472219,-0.812346,0.659873,0.547
"182","DDX39A","hurdle",4.00956027297352e-05,-1.666366,-0.847265,0.819101,0.547
"166","CTSH","hurdle",0.000159340753532485,-1.2982639,-0.5582122,0.7400517,0.547
"147","COCH","hurdle",2.27420405587414e-06,-3.219802,-2.015213,1.204589,0.547
"719","TRAF3IP3","hurdle",0.0135248738284635,-2.41779,-1.83263,0.58516,0.546
"624","SH3BP5","hurdle",0.00884237458503424,-1.3654936,-0.7071239,0.6583697,0.546
"576","RP11-325F22.2","hurdle",0.000757875432215896,-2.839999,-1.561813,1.278186,0.546
"92","CAMK1D","hurdle",5.64491288898087e-05,-2.632816,-1.529527,1.103289,0.546
"52","ARRDC2","hurdle",0.000488851009121716,-2.198781,-1.224896,0.973885,0.546
"385","LRMP","hurdle",0.0107810670732037,-2.654335,-1.628187,1.026148,0.545
"267","HHEX","hurdle",0.00177108651809096,-2.615949,-1.666226,0.949723,0.545
"252","GPR18","hurdle",0.00712942221357611,-3.126675,-2.041695,1.08498,0.545
"144","CNN2","hurdle",0.0033408765500973,-1.081519,-0.4881012,0.5934178,0.545
"618","SEPT1","hurdle",0.00339918111129016,-2.205286,-1.220272,0.985014,0.544
"234","FGD2","hurdle",0.00035960410328261,-3.166748,-2.041976,1.124772,0.544
"218","FAM49A","hurdle",0.00316035634386319,-2.791331,-1.874858,0.916473,0.544
"146","CNTRL","hurdle",0.000273867698669746,-2.422304,-1.296811,1.125493,0.544
"659","SPI1","hurdle",0.0141149838771581,-2.816169,-1.827987,0.988182,0.543
