"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Myeloid","log2fold_change","Auc"
"1099","WDFY4","hurdle",7.11267433792632e-09,-3.293923,-2.431504,0.862419,0.537
"1001","STAT5A","hurdle",0.0106352844480031,-2.423941,-1.917479,0.506462,0.537
"949","SLC18B1","hurdle",0.00124184762450709,-2.976345,-2.268797,0.707548,0.537
"722","NUP62","hurdle",6.29687239110509e-05,-2.317565,-1.728182,0.589383,0.537
"706","NINJ2","hurdle",0.0072210253853313,-2.875629,-2.289371,0.586258,0.537
"659","MKNK1","hurdle",2.92878554014613e-05,-2.615893,-1.881099,0.734794,0.537
"624","MAN2A1","hurdle",0.00211850674292499,-2.349418,-1.714672,0.634746,0.537
"528","IRAK1","hurdle",0.00430341675382013,-2.618555,-1.992897,0.625658,0.537
"449","GZF1","hurdle",5.66457996868489e-07,-2.884985,-2.119431,0.765554,0.537
"236","COMMD8","hurdle",0.00511456809774393,-2.247604,-1.672295,0.575309,0.537
"151","CASS4","hurdle",0.000236656299389386,-3.030835,-2.383055,0.64778,0.537
"45","AMPD3","hurdle",4.44993386753275e-05,-3.141327,-2.305117,0.83621,0.537
"31","ADRBK2","hurdle",3.98326381743521e-05,-3.128612,-2.38111,0.747502,0.537
"993","ST14","hurdle",0.000629244630265542,-2.578284,-1.924688,0.653596,0.536
"890","RRAGD","hurdle",1.69194710135272e-07,-3.150551,-2.368468,0.782083,0.536
"828","RAPGEF1","hurdle",4.51904201979266e-07,-2.558683,-2.011091,0.547592,0.536
"709","NOTCH2","hurdle",0.00583425644817052,-2.193328,-1.638087,0.555241,0.536
"683","NAAA","hurdle",0.000158551256080091,-2.201282,-1.623564,0.577718,0.536
"647","MFSD14B","hurdle",0.000484143363089869,-2.57713,-1.945271,0.631859,0.536
"614","LUCAT1","hurdle",3.81743166022723e-07,-3.19909,-2.277589,0.921501,0.536
"583","LILRA5","hurdle",5.66397084919289e-16,-3.321928,-2.289158,1.03277,0.536
"552","KCNMA1","hurdle",2.06771662782249e-06,-2.443603,-1.707007,0.736596,0.536
"548","KBTBD8","hurdle",4.58733352186531e-05,-3.050955,-2.164248,0.886707,0.536
"530","IRAK3","hurdle",0.0129815452733795,-2.706483,-2.088863,0.61762,0.536
"340","ETV6","hurdle",0.000587364057846385,-2.305826,-1.664611,0.641215,0.536
"231","CMKLR1","hurdle",0.00464072321754666,-3.1305,-2.546181,0.584319,0.536
"152","CBL","hurdle",0.0116015149970183,-2.639943,-2.069635,0.570308,0.536
"97","ATP6V1A","hurdle",0.00905678236878698,-2.107085,-1.543269,0.563816,0.536
"70","ARL11","hurdle",6.12922521469157e-08,-3.258089,-2.510624,0.747465,0.536
"29","ADPRH","hurdle",6.18829709199565e-06,-3.048873,-2.385001,0.663872,0.536
"1111","ZSWIM6","hurdle",5.46995290951611e-05,-2.690579,-1.914291,0.776288,0.535
"1066","TRPM2","hurdle",2.92030440014252e-05,-3.075548,-2.280647,0.794901,0.535
"1055","TNNI2","hurdle",1.41138898788713e-09,-3.300105,-2.428794,0.871311,0.535
"1031","TLR5","hurdle",3.2497277660334e-05,-2.954681,-2.216609,0.738072,0.535
"966","SLC8B1","hurdle",0.048870462489852,-2.617776,-2.072486,0.54529,0.535
"961","SLC46A3","hurdle",0.0599561062323013,-2.866861,-2.261037,0.605824,0.535
"921","SESN1","hurdle",0.00036135222154536,-2.294061,-1.738104,0.555957,0.535
"916","SEPP1","hurdle",3.26274339783829e-15,-0.66104212,-0.03936499,0.62167713,0.535
"898","S100A9","hurdle",0.000121110674493741,-2.23196,-1.266908,0.965052,0.535
"891","RRM2B","hurdle",0.000566240590695889,-2.570867,-1.896156,0.674711,0.535
"845","RGL1","hurdle",3.19795183100376e-06,-2.962896,-2.126961,0.835935,0.535
"750","PBX3","hurdle",0.0021156170709614,-2.803857,-2.19705,0.606807,0.535
"738","P2RY6","hurdle",0.00233442573559061,-3.156483,-2.502833,0.65365,0.535
"734","P2RX4","hurdle",0.000453357819155944,-2.417844,-1.802176,0.615668,0.535
"692","NCEH1","hurdle",4.71609234026913e-05,-2.862972,-2.143432,0.71954,0.535
"540","ITPR2","hurdle",8.15411705484567e-05,-2.133198,-1.615939,0.517259,0.535
"381","FMNL3","hurdle",0.00114449558186158,-2.702889,-2.108756,0.594133,0.535
"346","FADS1","hurdle",0.00222320575127142,-2.801327,-2.106731,0.694596,0.535
"306","DOK3","hurdle",0.000592179604233339,-3.241697,-2.560367,0.68133,0.535
"295","DHRS9","hurdle",4.10691988691106e-05,-3.309651,-2.695001,0.61465,0.535
"269","CXCL10","hurdle",3.89192692763849e-09,-2.96755,-1.389951,1.577599,0.535
"142","CAMK1","hurdle",0.00120461910048514,-2.434522,-1.804026,0.630496,0.535
"82","ARSB","hurdle",5.43513889882938e-05,-3.196987,-2.475403,0.721584,0.535
"66","ARHGAP25","hurdle",0.11919233894409,-2.782604,-2.219853,0.562751,0.535
"21","ADAM9","hurdle",3.26667824434126e-07,-2.406368,-1.64662,0.759748,0.535
"1097","WARS","hurdle",0.0115143009395665,-1.98519,-1.468615,0.516575,0.534
"1057","TPMT","hurdle",0.00110915210010804,-2.416456,-1.780306,0.63615,0.534
"1011","TBC1D5","hurdle",0.00149797899771086,-2.265219,-1.746382,0.518837,0.534
"791","PNPLA6","hurdle",0.000804899714476018,-2.787433,-2.076075,0.711358,0.534
"701","NFAM1","hurdle",6.12527168851791e-08,-3.295224,-2.579411,0.715813,0.534
"507","IL10","hurdle",8.15269090866403e-11,-3.268748,-2.209854,1.058894,0.534
"292","DERA","hurdle",9.29152046546602e-05,-2.252348,-1.628673,0.623675,0.534
"291","DENND3","hurdle",0.0177323195770453,-2.770092,-2.133347,0.636745,0.534
"193","CD80","hurdle",3.19748564481684e-06,-3.259944,-2.615902,0.644042,0.534
"157","CCL18","hurdle",1.95542846240922e-09,-3.282454,-2.134232,1.148222,0.534
"57","APOBEC3A","hurdle",2.19366913278249e-10,-3.266897,-2.066624,1.200273,0.534
"51","AP001055.6","hurdle",7.87687770061338e-06,-3.289547,-2.634919,0.654628,0.534
"33","AGAP3","hurdle",0.00460895506520133,-2.694464,-2.145092,0.549372,0.534
"15","ACRBP","hurdle",3.75988362624683e-12,-3.291946,-2.457066,0.83488,0.534
"2","ABCC3","hurdle",0.00505914897508666,-2.849083,-2.227967,0.621116,0.534
"1065","TRMT1","hurdle",0.00021885087620286,-2.300905,-1.715651,0.585254,0.533
"1039","TMEM206","hurdle",0.00120529811686979,-2.933711,-2.247518,0.686193,0.533
"1036","TMEM106A","hurdle",0.000115271380989437,-2.91809,-2.280954,0.637136,0.533
"1035","TMED5","hurdle",0.0012919127969666,-1.868292,-1.317695,0.550597,0.533
"770","PLA2G2D","hurdle",1.36267246473188e-09,-3.317895,-2.358705,0.95919,0.533
"666","MOB3A","hurdle",0.000203727173207964,-2.512692,-1.891597,0.621095,0.533
"660","MMD","hurdle",2.55595438386769e-05,-2.713105,-2.067105,0.646,0.533
"656","MIR3945HG","hurdle",6.21916015363504e-10,-3.314428,-2.514142,0.800286,0.533
"584","LILRA6","hurdle",1.91333856747745e-06,-3.321928,-2.720696,0.601232,0.533
"580","LILRA1","hurdle",3.5587197562661e-09,-3.321928,-2.678336,0.643592,0.533
"529","IRAK2","hurdle",1.54017521185752e-08,-3.149726,-2.244014,0.905712,0.533
"484","HPS3","hurdle",0.000361178949852411,-2.576841,-1.977191,0.59965,0.533
"464","HHEX","hurdle",0.00105482187680925,-2.633206,-1.986409,0.646797,0.533
"431","GPR132","hurdle",0.361569064229563,-2.942648,-2.433239,0.509409,0.533
"400","GAB3","hurdle",3.14106151293204e-06,-3.161582,-2.484353,0.677229,0.533
"304","DOK1","hurdle",0.000128894925566868,-2.844414,-2.23044,0.613974,0.533
"297","DNAJA4","hurdle",0.000241242703563896,-2.081168,-1.412819,0.668349,0.533
"155","CCL13","hurdle",1.62230949850519e-06,-3.243077,-2.380877,0.8622,0.533
"1051","TNFSF12","hurdle",0.00602479313819802,-2.520766,-1.933464,0.587302,0.532
"995","ST3GAL5","hurdle",0.00994935271376511,-3.030629,-2.374033,0.656596,0.532
"955","SLC36A4","hurdle",0.000405343874042209,-2.783822,-2.088385,0.695437,0.532
"926","SGPP1","hurdle",0.00297713521652377,-2.994064,-2.402474,0.59159,0.532
"877","RP11-472N13.3","hurdle",1.28440181557014e-08,-3.300517,-2.455726,0.844791,0.532
"876","RP11-390P2.4","hurdle",2.91225992391317e-06,-3.237121,-2.54043,0.696691,0.532
"871","RP11-160E2.6","hurdle",0.0956503820196385,-2.564227,-2.057924,0.506303,0.532
"772","PLAC8","hurdle",0.000286817997646777,-2.521437,-1.599886,0.921551,0.532
"559","KIAA0930","hurdle",0.00262433133156803,-2.578337,-2.002979,0.575358,0.532
"551","KCNJ5","hurdle",6.78404701187533e-12,-3.316419,-2.479592,0.836827,0.532
"526","IPMK","hurdle",0.000187283646580238,-2.875338,-2.130951,0.744387,0.532
"321","EIF2AK3","hurdle",0.000297858795311289,-2.683686,-1.910825,0.772861,0.532
"1032","TLR6","hurdle",5.44086130503359e-07,-3.284108,-2.572791,0.711317,0.531
"908","SCO2","hurdle",0.000982005497751934,-2.127854,-1.585719,0.542135,0.531
"907","SCN1B","hurdle",6.67680743588732e-06,-3.020288,-2.27168,0.748608,0.531
"904","SATB1","hurdle",0.010257204651491,-2.599326,-2.033843,0.565483,0.531
"889","RRAGC","hurdle",0.00164133852818383,-2.474034,-1.90573,0.568304,0.531
"838","RCC2","hurdle",0.000237487339109277,-2.469765,-1.813287,0.656478,0.531
"833","RASSF3","hurdle",0.118554374652252,-2.645053,-2.138277,0.506776,0.531
"712","NQO2","hurdle",0.000173676673726222,-2.15899,-1.610965,0.548025,0.531
"627","MAP1LC3B2","hurdle",0.00251755766679287,-2.557965,-1.961564,0.596401,0.531
"547","JOSD1","hurdle",0.00126071583873623,-2.077997,-1.53412,0.543877,0.531
"426","GNG10","hurdle",0.000844938651176161,-2.005097,-1.474945,0.530152,0.531
"348","FAM210A","hurdle",7.33054907157157e-06,-2.548094,-1.877409,0.670685,0.531
"135","C3orf58","hurdle",0.0231644801121953,-2.518342,-2.004462,0.51388,0.531
"3","ABCC5","hurdle",0.00014628616773028,-2.598763,-1.982149,0.616614,0.531
"1083","VAC14","hurdle",0.00687306679264344,-2.834262,-2.273234,0.561028,0.53
"1059","TRAF1","hurdle",0.000314246959593476,-2.873998,-2.284131,0.589867,0.53
"1043","TMIGD3","hurdle",5.12954358290587e-08,-3.30908,-2.573541,0.735539,0.53
"826","RAP2A","hurdle",0.000238467540283898,-2.671857,-2.142123,0.529734,0.53
"797","PRAM1","hurdle",0.0011274954497531,-3.318048,-2.743211,0.574837,0.53
"757","PDXK","hurdle",0.000201494818211231,-2.226373,-1.712214,0.514159,0.53
"720","NUDT16","hurdle",0.00297231283984733,-2.060105,-1.544294,0.515811,0.53
"523","INPP4A","hurdle",0.0979578455792982,-2.700374,-2.190047,0.510327,0.53
"411","GGA2","hurdle",0.000711345505989901,-2.256979,-1.691752,0.565227,0.53
"376","FLT3","hurdle",2.08501337159163e-07,-3.290861,-2.527651,0.76321,0.53
"338","ETV3","hurdle",0.000442713747831766,-2.330697,-1.695223,0.635474,0.53
"214","CHST13","hurdle",1.55173824459154e-10,-3.321928,-2.612607,0.709321,0.53
"179","CD300LB","hurdle",6.7840470118697e-12,-3.321928,-2.569005,0.752923,0.53
"158","CCL2","hurdle",0.0334937036754484,-1.3284519,-0.7766896,0.5517623,0.53
"141","CADM1","hurdle",1.24507868015713e-09,-2.535341,-1.703341,0.832,0.53
"86","ATG4C","hurdle",1.05594022370452e-05,-2.693192,-2.18878,0.504412,0.53
"54","AP5Z1","hurdle",0.00461013434223079,-2.723098,-2.092713,0.630385,0.53
"1069","TTYH2","hurdle",4.3973117421556e-06,-3.172483,-2.402776,0.769707,0.529
"1048","TNFRSF11A","hurdle",2.52128125724834e-08,-3.228536,-2.463648,0.764888,0.529
"1026","TK2","hurdle",0.000893931340573408,-2.881784,-2.263332,0.618452,0.529
"1017","TFEB","hurdle",0.0019336443367906,-2.963994,-2.363288,0.600706,0.529
"1009","TANC2","hurdle",3.75845718144521e-06,-2.774542,-2.011182,0.76336,0.529
"1006","STXBP2","hurdle",0.000803929361625716,-2.154041,-1.56598,0.588061,0.529
"980","SNX8","hurdle",0.0213514761310791,-2.795856,-2.251642,0.544214,0.529
"875","RP11-325F22.2","hurdle",4.71725645194571e-05,-2.841425,-2.260073,0.581352,0.529
"630","MAP4K1","hurdle",0.0327590867942677,-2.940289,-2.383426,0.556863,0.529
"541","JAK2","hurdle",0.00101186224346177,-2.726435,-2.057968,0.668467,0.529
"355","FAR2","hurdle",0.0016237686108081,-2.993646,-2.382331,0.611315,0.529
"114","BLOC1S2","hurdle",0.00210605947725942,-1.822906,-1.294209,0.528697,0.529
"87","ATG7","hurdle",0.021679839860313,-2.728621,-2.172755,0.555866,0.529
"962","SLC5A3","hurdle",0.00872568870601943,-1.991147,-1.475875,0.515272,0.528
"952","SLC25A19","hurdle",0.0481311305914674,-2.80464,-2.272692,0.531948,0.528
"945","SLC12A5","hurdle",9.19285202465612e-07,-3.199018,-2.522774,0.676244,0.528
"880","RP11-758H9.2","hurdle",0.00146955145394349,-2.459667,-1.939863,0.519804,0.528
"764","PID1","hurdle",0.00081253564728677,-3.130078,-2.476577,0.653501,0.528
"739","P3H2","hurdle",0.000511891606593533,-3.00391,-2.314913,0.688997,0.528
"556","KDM2B","hurdle",0.0131041784445924,-2.721519,-2.186574,0.534945,0.528
"546","JDP2","hurdle",1.96686551962736e-05,-2.727589,-2.077582,0.650007,0.528
"522","ILF3-AS1","hurdle",8.16147036769789e-07,-1.815887,-1.16992,0.645967,0.528
"510","IL10RB-AS1","hurdle",1.83081604561213e-07,-3.263349,-2.714786,0.548563,0.528
"491","ICOSLG","hurdle",0.000229613656392398,-3.138218,-2.480912,0.657306,0.528
"240","CORO7","hurdle",0.00598836280982387,-2.843205,-2.274833,0.568372,0.528
"210","CHML","hurdle",0.00164640157757857,-2.907927,-2.27332,0.634607,0.528
"209","CH25H","hurdle",0.00135276864592249,-2.558628,-1.794202,0.764426,0.528
"198","CDK6","hurdle",0.00856177246722635,-2.568481,-1.990453,0.578028,0.528
"167","CCR7","hurdle",0.120746564658779,-2.085121,-1.519304,0.565817,0.528
"124","C12orf45","hurdle",0.00228489631204423,-2.292569,-1.722104,0.570465,0.528
"1100","WDR91","hurdle",0.000428742477260666,-2.995008,-2.448558,0.54645,0.527
"967","SLC9A7","hurdle",0.0036769978631675,-2.932907,-2.369928,0.562979,0.527
"817","PXDC1","hurdle",0.003110670256682,-2.646026,-2.11548,0.530546,0.527
"816","PUDP","hurdle",0.00614527095112679,-2.776956,-2.23967,0.537286,0.527
"800","PRKCD","hurdle",0.0328164183179323,-2.527353,-1.976402,0.550951,0.527
"780","PLEK2","hurdle",1.98511640592326e-07,-3.145718,-2.353842,0.791876,0.527
"755","PDGFB","hurdle",0.000652202366634495,-2.835711,-2.263261,0.57245,0.527
"742","PADI2","hurdle",0.000192884982062076,-3.070706,-2.399959,0.670747,0.527
"737","P2RY14","hurdle",0.00442591899727959,-3.081482,-2.510078,0.571404,0.527
"691","NAPSA","hurdle",1.38137383450562e-08,-3.29989,-2.546178,0.753712,0.527
"615","LY75","hurdle",0.00762925939936309,-3.087592,-2.481077,0.606515,0.527
"607","LRRK1","hurdle",0.0008143472839122,-2.963469,-2.364582,0.598887,0.527
"569","LAMP3","hurdle",0.000207139166824125,-3.207469,-2.476408,0.731061,0.527
"518","IL1RAP","hurdle",1.6095177747859e-05,-3.060481,-2.316119,0.744362,0.527
"358","FCGBP","hurdle",1.38931006955912e-09,-3.237286,-2.130974,1.106312,0.527
"257","CTA-29F11.1","hurdle",0.00602676615204715,-2.089769,-1.533642,0.556127,0.527
"159","CCL20","hurdle",1.3627955046657e-05,-3.163411,-2.143326,1.020085,0.527
"147","CARD11","hurdle",0.00404021028864515,-3.112463,-2.493547,0.618916,0.527
"119","BTBD1","hurdle",0.0239297553086848,-2.715898,-2.19356,0.522338,0.527
"84","ATF7IP2","hurdle",0.00325409169304238,-2.600758,-1.944769,0.655989,0.527
"1105","ZEB2-AS1","hurdle",3.09243891414283e-06,-3.287588,-2.53496,0.752628,0.526
"1095","VRK2","hurdle",0.00398570249520112,-2.515294,-1.996442,0.518852,0.526
"1050","TNFRSF21","hurdle",0.00859194825155259,-3.019821,-2.461468,0.558353,0.526
"754","PDE6G","hurdle",0.000543521336399624,-3.289563,-2.737499,0.552064,0.526
"408","GBGT1","hurdle",0.00063074915919475,-3.054963,-2.402345,0.652618,0.526
"377","FLVCR2","hurdle",0.000807725584512834,-3.233696,-2.656115,0.577581,0.526
"298","DNAJC5B","hurdle",0.000184321934897443,-3.295609,-2.748727,0.546882,0.526
"230","CMB9-22P13.1","hurdle",0.0013253907191453,-2.676193,-2.114565,0.561628,0.526
"109","BCO2","hurdle",3.75326837661267e-06,-3.149145,-2.391141,0.758004,0.526
"93","ATP5L2","hurdle",3.42785755981645e-06,-3.155573,-2.420996,0.734577,0.526
"91","ATP2C1","hurdle",0.000205386425187076,-2.113514,-1.552881,0.560633,0.526
"893","RUBCN","hurdle",0.00295414516015231,-2.779538,-2.181805,0.597733,0.525
"859","RNASE2","hurdle",1.91333856747651e-06,-3.321928,-2.790968,0.53096,0.525
"823","RAB42","hurdle",0.00288184414852623,-3.26835,-2.689976,0.578374,0.525
"719","NUAK2","hurdle",0.00372730380072637,-3.0872,-2.537908,0.549292,0.525
"713","NR1H3","hurdle",0.000315017321662377,-2.738209,-2.224517,0.513692,0.525
"671","MS4A4E","hurdle",1.55173824459149e-10,-3.321928,-2.618115,0.703813,0.525
"648","MFSD2A","hurdle",0.000554808835194174,-3.132811,-2.601859,0.530952,0.525
"544","JAZF1","hurdle",0.0100581830405819,-2.721339,-2.213913,0.507426,0.525
"454","HCAR2","hurdle",2.84113782615411e-08,-3.273901,-2.559826,0.714075,0.525
"176","CD274","hurdle",0.00114641217591543,-3.200139,-2.598686,0.601453,0.525
"94","ATP6V0A1","hurdle",0.00181165369184711,-2.527956,-1.990642,0.537314,0.525
"92","ATP5EP2","hurdle",0.00105202557815026,-2.741977,-2.074863,0.667114,0.525
"939","SIPA1L2","hurdle",0.00895768405233756,-2.701616,-2.172957,0.528659,0.524
"884","RP6-159A1.4","hurdle",8.71953745273015e-07,-3.302975,-2.575097,0.727878,0.524
"594","LINC00996","hurdle",6.55978077245262e-06,-3.180742,-2.500685,0.680057,0.524
"592","LINC00877","hurdle",9.90067563204757e-06,-3.287871,-2.700869,0.587002,0.524
"566","LACC1","hurdle",0.000616432162357405,-3.090856,-2.520526,0.57033,0.524
"463","HGF","hurdle",0.00817139006121359,-3.027267,-2.484628,0.542639,0.524
"433","GPR141","hurdle",3.46341785264263e-09,-3.308224,-2.543464,0.76476,0.524
"333","EREG","hurdle",2.82100211736704e-09,-3.283884,-2.404011,0.879873,0.524
"48","ANOS1","hurdle",0.00706544079876778,-3.04111,-2.470143,0.570967,0.524
"9","ABR","hurdle",0.00758662215876633,-2.616608,-2.028073,0.588535,0.524
"848","RGS13","hurdle",0.000103273195286836,-3.260005,-2.723045,0.53696,0.523
"561","KIF1B","hurdle",0.00122908780662427,-2.434913,-1.869308,0.565605,0.523
"320","EHBP1L1","hurdle",0.0470348591120602,-2.628228,-2.105662,0.522566,0.523
"294","DHDH","hurdle",3.20588697510748e-05,-3.247051,-2.594762,0.652289,0.523
"278","CYB561A3","hurdle",0.000308729349074994,-2.365686,-1.840114,0.525572,0.523
"165","CCL8","hurdle",0.00115738907875418,-2.845337,-2.01503,0.830307,0.523
"79","ARPIN","hurdle",0.0038314484968394,-2.865902,-2.33204,0.533862,0.523
"12","AC109826.1","hurdle",0.00104563262204876,-3.254139,-2.728299,0.52584,0.523
"958","SLC41A2","hurdle",0.00116305984289132,-3.060783,-2.459278,0.601505,0.522
"953","SLC2A5","hurdle",0.000105618274580808,-3.253665,-2.643095,0.61057,0.522
"844","RETN","hurdle",1.91333856747731e-06,-3.321928,-2.809493,0.512435,0.522
"686","NAF1","hurdle",0.00132125741212145,-2.417645,-1.773766,0.643879,0.522
"553","KCNQ1","hurdle",3.22497336568703e-06,-3.217149,-2.536005,0.681144,0.522
"531","IRF4","hurdle",0.111694401948999,-2.845242,-2.294716,0.550526,0.522
"421","GMPR","hurdle",5.78148991050795e-05,-3.06411,-2.519677,0.544433,0.522
"399","GAB2","hurdle",0.000833769086546925,-3.055548,-2.384039,0.671509,0.522
"315","EAF2","hurdle",0.0447225186506823,-2.869071,-2.341747,0.527324,0.522
"172","CD1B","hurdle",3.5587197562663e-09,-3.320518,-2.660406,0.660112,0.522
"59","APOC2","hurdle",3.55871975626513e-09,-3.321928,-2.51856,0.803368,0.522
"1014","TCHH","hurdle",1.55173824459218e-10,-3.311805,-2.677546,0.634259,0.521
"756","PDGFC","hurdle",0.00113531671129916,-3.065681,-2.511622,0.554059,0.521
"696","NCK1-AS1","hurdle",0.00163812715111302,-2.989942,-2.391733,0.598209,0.521
"482","HOTAIRM1","hurdle",0.0014189822313201,-2.395628,-1.844976,0.550652,0.521
"140","CACNB4","hurdle",0.000114297705106535,-3.215654,-2.65334,0.562314,0.521
"118","BST1","hurdle",0.000345089348059681,-3.007719,-2.427377,0.580342,0.521
"110","BEST1","hurdle",0.00468241506265583,-2.758997,-2.193946,0.565051,0.521
"11","AC074289.1","hurdle",0.00561303550066135,-3.094825,-2.581968,0.512857,0.521
"1092","VNN2","hurdle",0.00021211128575062,-3.250237,-2.675699,0.574538,0.52
"975","SNX18","hurdle",0.00540084574104598,-2.507045,-1.968055,0.53899,0.52
"872","RP11-169D4.2","hurdle",6.6744274059384e-05,-3.263835,-2.756867,0.506968,0.52
"645","MFI2","hurdle",6.1460228738458e-06,-3.121799,-2.51343,0.608369,0.52
"331","EPHB2","hurdle",0.00272723406620659,-3.210836,-2.647488,0.563348,0.52
"270","CXCL11","hurdle",5.8331754959032e-06,-3.171747,-2.325579,0.846168,0.52
"1088","VENTX","hurdle",8.20773759941884e-08,-3.31758,-2.766936,0.550644,0.519
"994","ST18","hurdle",1.91333856747608e-06,-3.321928,-2.785503,0.536425,0.519
"937","SIGLEC8","hurdle",8.20773759942805e-08,-3.321928,-2.7574,0.564528,0.519
"881","RP11-76E17.3","hurdle",2.22617338519336e-07,-3.315215,-2.686553,0.628662,0.519
"879","RP11-701P16.2","hurdle",1.91758208099958e-07,-3.31484,-2.788761,0.526079,0.519
"708","NME8","hurdle",8.20773759941739e-08,-3.321928,-2.750274,0.571654,0.519
"677","MVB12B","hurdle",0.00142437160263315,-3.044285,-2.537029,0.507256,0.519
"582","LILRA4","hurdle",1.55173824459282e-10,-3.321928,-2.613562,0.708366,0.519
"455","HCAR3","hurdle",4.37738604709508e-05,-3.317081,-2.798921,0.51816,0.519
"223","CLEC4C","hurdle",3.55871975626525e-09,-3.321928,-2.706126,0.615802,0.519
"69","ARHGEF40","hurdle",0.0165904838046003,-2.805375,-2.289595,0.51578,0.519
"1042","TMEM86A","hurdle",0.00420301938272456,-3.032977,-2.467652,0.565325,0.518
"1028","TLR10","hurdle",0.00391737932102624,-3.275463,-2.709739,0.565724,0.518
"899","S100B","hurdle",0.000552382351207377,-3.127632,-2.470083,0.657549,0.518
"874","RP11-24F11.2","hurdle",1.68636836787687e-08,-3.297088,-2.616524,0.680564,0.518
"466","HIF1A-AS2","hurdle",5.53287167094951e-05,-3.29915,-2.714109,0.585041,0.518
"402","GABRB2","hurdle",4.26495765652347e-07,-3.284672,-2.682276,0.602396,0.518
"365","FCHO2","hurdle",0.00323649846128952,-2.437511,-1.934307,0.503204,0.518
"108","BCL2L14","hurdle",5.32395968504942e-07,-3.29024,-2.66121,0.62903,0.518
"44","ALPK3","hurdle",0.000505394782817781,-3.213819,-2.605965,0.607854,0.517
"1062","TRGV5","hurdle",0.016351801982183,-3.180295,-2.676087,0.504208,0.516
"895","S100A12","hurdle",8.20773759942372e-08,-3.315803,-2.558964,0.756839,0.516
"878","RP11-480C22.1","hurdle",3.55871975626634e-09,-3.321928,-2.736964,0.584964,0.516
"634","MARCO","hurdle",0.000157726619451585,-3.303054,-2.744608,0.558446,0.516
"565","L3MBTL4-AS1","hurdle",3.57287117170444e-06,-3.310471,-2.684543,0.625928,0.516
"554","KCNQ3","hurdle",2.68187068124978e-05,-3.24461,-2.585776,0.658834,0.516
"435","GPR157","hurdle",1.69513355128631e-05,-2.965946,-2.277161,0.688785,0.516
"268","CXCL1","hurdle",0.0026026038894044,-3.071581,-2.446231,0.62535,0.515
"160","CCL22","hurdle",0.000284292883435476,-3.294613,-2.674128,0.620485,0.515
"1054","TNFSF18","hurdle",8.20773759941718e-08,-3.319912,-2.762703,0.557209,0.514
"676","MTSS1","hurdle",0.00109217436594217,-2.363064,-1.844235,0.518829,0.514
"545","JCHAIN","hurdle",0.0114618287534557,-2.312878,-1.637137,0.675741,0.512
"511","IL12B","hurdle",4.55066148502634e-05,-3.321928,-2.773295,0.548633,0.511
"504","IGLV3-19","hurdle",0.0295938691914107,-3.166416,-2.635682,0.530734,0.51
"156","CCL17","hurdle",0.00099170504095372,-3.305737,-2.794145,0.511592,0.51
