"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Plasmablasts","log2fold_change","Auc"
"266","SSR4","hurdle",2.49923911209694e-88,0.2196225,1.7653623,1.5457398,0.96
"96","IGHG1","hurdle",2.10611825124504e-115,-2.00459,2.392905,4.397495,0.926
"206","MZB1","hurdle",1.10247742977142e-98,-2.9159,1.244694,4.160594,0.925
"98","IGHG3","hurdle",5.18930463757179e-103,-2.401378,1.969031,4.370409,0.921
"130","IGKC","hurdle",9.81074412895808e-81,-0.6107084,2.4259399,3.0366483,0.908
"99","IGHG4","hurdle",2.70246675076407e-76,-2.562977,1.548061,4.111038,0.868
"70","FKBP11","hurdle",3.79534092206355e-43,-1.9117127,0.5993057,2.5110184,0.843
"185","ITM2C","hurdle",2.04651869924502e-32,-1.9366946,0.4853187,2.4220133,0.816
"186","JCHAIN","hurdle",1.7223055146203e-42,-2.512002,1.070031,3.582033,0.798
"100","IGHGP","hurdle",5.59689501638598e-64,-3.2674931,0.6991807,3.9666738,0.792
"97","IGHG2","hurdle",1.312018609105e-53,-3.1383984,0.4724639,3.6108623,0.789
"53","DERL3","hurdle",1.53329619409404e-43,-3.120132964,0.002917745,3.123050709,0.772
"154","IGLC2","hurdle",1.37040879512342e-41,-1.45737,1.644067,3.101437,0.768
"252","SEC11C","hurdle",4.08359755104827e-20,-1.2461208,0.2642371,1.5103579,0.737
"223","PRDX4","hurdle",3.77221764521931e-18,-0.9162814,0.3286565,1.2449379,0.717
"34","CD79A","hurdle",9.60748739178557e-31,-2.8910728,-0.3745341,2.5165387,0.712
"32","CD38","hurdle",2.42139782693554e-25,-3.075475,-0.5128936,2.5625814,0.708
"78","HERPUD1","hurdle",2.53971468533666e-09,-0.1515579,0.7476262,0.8991841,0.692
"155","IGLC3","hurdle",2.02075470276934e-33,-2.4335178,0.9049275,3.3384453,0.69
"69","FCRL5","hurdle",6.23791481520075e-25,-3.2640545,-0.6096532,2.6544013,0.689
"183","ISG20","hurdle",2.05014265901789e-11,-0.9453456,0.1435488,1.0888944,0.686
"71","FKBP2","hurdle",2.13273257609633e-11,-0.5892029,0.3098505,0.8990534,0.677
"212","PDK1","hurdle",6.88534896943192e-12,-2.93152,-0.8166902,2.1148298,0.667
"282","UBE2J1","hurdle",1.70636410804877e-08,-1.4422615,-0.2794692,1.1627923,0.666
"276","TNFRSF17","hurdle",3.66849630461359e-23,-3.294132,-1.068842,2.22529,0.666
"56","DNAJB9","hurdle",6.34673402891729e-06,-1.2781952,-0.2696742,1.008521,0.665
"188","KIAA0125","hurdle",4.98128016427325e-22,-3.1605679,-0.7214548,2.4391131,0.663
"171","IGLV3-1","hurdle",2.96036772312022e-25,-3.2848089,-0.8715163,2.4132926,0.658
"216","PIM2","hurdle",2.64106662485006e-05,-2.1527646,-0.6609906,1.491774,0.65
"101","IGHM","hurdle",7.50938563740213e-20,-2.8396303,-0.2303863,2.609244,0.65
"262","SPAG4","hurdle",1.10469264251967e-15,-3.096613,-1.052058,2.044555,0.649
"256","SLAMF7","hurdle",1.00739946477826e-09,-2.98406,-1.07152,1.91254,0.649
"265","SSR3","hurdle",5.00825727356498e-08,-0.5207827,0.2577664,0.7785491,0.647
"275","TMEM258","hurdle",0.000118131171392531,-0.08861776,0.50400066,0.59261842,0.645
"263","SPCS2","hurdle",5.43366199430531e-06,-0.3111398,0.342463,0.6536028,0.645
"51","CYBA","hurdle",7.21073503337519e-06,-0.8285301,0.1555929,0.984123,0.643
"220","POU2AF1","hurdle",2.38008478528415e-18,-3.228336,-1.08352,2.144816,0.64
"284","XBP1","hurdle",5.27763055027049e-05,0.4139496,0.9445779,0.5306283,0.634
"159","IGLL5","hurdle",3.60750352457113e-24,-3.2852529,-0.4334294,2.8518235,0.634
"218","PLPP5","hurdle",0.000173222768340483,-1.4399082,-0.5156373,0.9242709,0.631
"187","JSRP1","hurdle",8.30171315610119e-17,-3.250465,-1.188108,2.062357,0.624
"131","IGKV1-12","hurdle",1.99159465957969e-23,-3.2689069,-0.4537306,2.8151763,0.618
"254","SEL1L","hurdle",3.20217783367066e-05,-1.9221487,-0.7465669,1.1755818,0.616
"222","PRDM1","hurdle",2.48838085461629e-06,-1.9645743,-0.8210951,1.1434792,0.616
"250","SDC1","hurdle",0.0130242027456545,-2.043636,-1.034341,1.009295,0.612
"285","ZBP1","hurdle",0.000202414675812556,-3.076478,-1.484756,1.591722,0.611
"199","MANEA","hurdle",2.18399514406951e-05,-2.752511,-1.180458,1.572053,0.609
"251","SDF2L1","hurdle",3.58838808414395e-05,-1.3669125,-0.5089822,0.8579303,0.607
"64","FAM46C","hurdle",9.90108809175378e-05,-1.846559,-0.7420557,1.1045033,0.607
"196","LINC01480","hurdle",3.94430225228132e-11,-3.068674,-1.093899,1.974775,0.604
"17","BLNK","hurdle",1.86193806960826e-06,-2.836916,-1.43947,1.397446,0.604
"31","CD27","hurdle",8.04528024300672e-09,-2.320709,-1.305412,1.015297,0.603
"264","SPCS3","hurdle",0.000531389676801196,-1.4577358,-0.5993918,0.858344,0.602
"267","ST6GAL1","hurdle",0.000655662701647302,-2.503686,-1.236745,1.266941,0.6
"230","RGS1","hurdle",1.40406412482872e-07,-0.46611435,0.05500168,0.52111603,0.6
"58","DPEP1","hurdle",1.17591831303071e-07,-3.162056,-1.532766,1.62929,0.598
"236","RP11-290F5.1","hurdle",1.03012036867524e-13,-3.305955,-1.736399,1.569556,0.595
"148","IGKV3-11","hurdle",1.41893387806174e-09,-2.8229359,-0.4837542,2.3391817,0.593
"27","CCDC167","hurdle",0.00241813239711124,-1.8678677,-0.9720997,0.895768,0.593
"203","MEI1","hurdle",9.66148185211595e-05,-2.936519,-1.702229,1.23429,0.592
"201","MEF2C","hurdle",0.0544815731567044,-1.5386766,-0.7918594,0.7468172,0.592
"86","HSH2D","hurdle",1.19563455984025e-05,-2.697499,-1.233777,1.463722,0.592
"49","CTA-384D8.34","hurdle",5.5672893315369e-07,-3.217302,-1.935683,1.281619,0.592
"8","AC093818.1","hurdle",5.08562872139759e-07,-3.226982,-1.826984,1.399998,0.592
"255","SEL1L3","hurdle",0.016117779044668,-2.924776,-2.002732,0.922044,0.589
"36","CECR1","hurdle",0.0291584805760002,-2.587417,-1.565915,1.021502,0.588
"191","KLF13","hurdle",0.00636507009677265,-2.488827,-1.420884,1.067943,0.587
"113","IGHV3-30","hurdle",5.36863716330332e-12,-3.27519,-1.090729,2.184461,0.587
"108","IGHV3-15","hurdle",1.77108077269012e-12,-3.0994872,-0.1695961,2.9298911,0.584
"87","HSPA13","hurdle",0.000252012086353064,-2.701305,-1.491522,1.209783,0.584
"63","EVI2B","hurdle",0.0294810229196173,-2.081612,-1.507981,0.573631,0.582
"59","EAF2","hurdle",0.0024276673886004,-2.870937,-1.630936,1.240001,0.582
"110","IGHV3-21","hurdle",1.29545876984772e-11,-2.9584134,-0.2428403,2.7155731,0.581
"93","IGHA1","hurdle",7.03871986886506e-07,-2.4788507,-0.6647705,1.8140802,0.581
"35","CD79B","hurdle",0.169645079093641,-2.64631,-1.80877,0.83754,0.58
"235","RP11-16E12.2","hurdle",1.86182655801481e-06,-3.31948,-2.102595,1.216885,0.579
"231","RNASE6","hurdle",0.0062557091238118,-2.798784,-1.829356,0.969428,0.579
"37","CH17-212P11.4","hurdle",6.7431608438317e-18,-3.317709,-1.15826,2.159449,0.579
"219","PNOC","hurdle",2.24089212714472e-05,-3.294849,-2.227989,1.06686,0.578
"170","IGLV2-8","hurdle",1.16472475633794e-07,-2.8153909,-0.6098614,2.2055295,0.578
"46","CREB3L2","hurdle",0.0974536838002772,-2.064562,-1.302437,0.762125,0.578
"62","ERN1","hurdle",0.00374354838827808,-2.079953,-1.185513,0.89444,0.577
"182","ISG15","hurdle",0.0497570791805898,-0.6644116,-0.1605424,0.5038692,0.576
"66","FCGR2B","hurdle",0.00344214105074465,-2.909442,-1.963179,0.946263,0.575
"165","IGLV1-51","hurdle",8.81997972627278e-10,-3.0877922,-0.9234348,2.1643574,0.574
"283","VOPP1","hurdle",0.172296127863278,-1.878992,-1.235744,0.643248,0.573
"178","IGLV6-57","hurdle",6.1165014849902e-12,-3.1073194,-0.8754137,2.2319057,0.573
"42","CHPF","hurdle",0.294484556565584,-2.020306,-1.34879,0.671516,0.573
"72","FNDC3A","hurdle",0.0013096422002474,-2.017763,-1.113547,0.904216,0.571
"45","CPNE5","hurdle",0.00240887052023534,-3.11641,-1.91203,1.20438,0.571
"132","IGKV1-39","hurdle",1.22492120263533e-09,-3.227558,-1.057764,2.169794,0.569
"207","NCF1","hurdle",0.0270076135842252,-2.510798,-1.715916,0.794882,0.568
"198","LY96","hurdle",0.0882102971689789,-2.012895,-1.215232,0.797663,0.567
"153","IGKV4-1","hurdle",4.12532199802147e-06,-3.051145,-1.001003,2.050142,0.566
"280","TXNDC15","hurdle",0.0302099678263229,-1.716627,-1.061882,0.654745,0.564
"205","MRPS31","hurdle",0.0763806552214138,-2.212226,-1.466053,0.746173,0.564
"65","FAM92B","hurdle",0.000139924104412487,-3.319918,-2.30884,1.011078,0.563
"217","PKHD1L1","hurdle",2.8624759796242e-05,-3.275426,-1.930211,1.345215,0.562
"139","IGKV1D-39","hurdle",9.22364529918019e-11,-3.218532,-0.7173988,2.5011332,0.562
"133","IGKV1-5","hurdle",2.03884192740454e-06,-2.836488,-0.831996,2.004492,0.561
"81","HIST1H2BG","hurdle",4.52215310851171e-06,-2.91099,-1.616858,1.294132,0.561
"237","RP11-325F22.2","hurdle",4.92921806752686e-05,-2.845477,-1.457964,1.387513,0.56
"47","CRELD2","hurdle",0.00234080841814122,-1.776329,-1.249216,0.527113,0.56
"19","BRSK1","hurdle",0.000258169655964683,-3.240323,-2.095729,1.144594,0.56
"77","GNG7","hurdle",0.000514351608922702,-2.768808,-1.681311,1.087497,0.559
"279","TXNDC11","hurdle",0.0929098150572538,-2.293048,-1.605941,0.687107,0.558
"215","PIK3CG","hurdle",4.31311253354647e-05,-3.117079,-1.85575,1.261329,0.557
"184","ITGB7","hurdle",0.0879218871704583,-2.85495,-2.123503,0.731447,0.557
"268","ST6GALNAC4","hurdle",0.0097520925540853,-2.576458,-1.732101,0.844357,0.555
"253","SEC61A1","hurdle",0.242457283111411,-1.716713,-1.180611,0.536102,0.555
"193","LIME1","hurdle",2.0151453871944e-05,-2.918319,-1.65392,1.264399,0.555
"124","IGHV3OR16-13","hurdle",1.51658039169714e-09,-3.304961,-1.692592,1.612369,0.555
"209","P2RX1","hurdle",7.74861004438353e-05,-3.266352,-1.988027,1.278325,0.554
"102","IGHV1-24","hurdle",1.03063893764296e-07,-3.249575,-1.495962,1.753613,0.554
"91","IFNG-AS1","hurdle",0.000408295835725276,-3.243336,-2.112997,1.130339,0.554
"228","RAB30","hurdle",0.00148895496547751,-2.488052,-1.47332,1.014732,0.553
"208","NCF4","hurdle",0.20002649164622,-2.727737,-2.082744,0.644993,0.553
"277","TP53INP1","hurdle",0.0107102357880146,-2.104352,-1.254066,0.850286,0.552
"200","MANF","hurdle",0.000859007710511713,-1.5295335,-0.8610462,0.6684873,0.552
"180","IRF4","hurdle",0.000909335113742867,-2.83202,-1.997283,0.834737,0.552
"30","CD180","hurdle",0.118495970315122,-3.208592,-2.49579,0.712802,0.552
"273","THEMIS2","hurdle",0.1235867305877,-2.948496,-2.1395,0.808996,0.551
"21","C19orf38","hurdle",0.0854584649501979,-3.203063,-2.430965,0.772098,0.551
"92","IGF1","hurdle",0.0108915735406773,-2.339197,-1.748873,0.590324,0.55
"25","CASP10","hurdle",0.0187713801492471,-2.916423,-2.092587,0.823836,0.548
"224","PRPSAP2","hurdle",0.000515466344964637,-2.336212,-1.38816,0.948052,0.547
"221","POU2F2","hurdle",0.233772736536507,-2.824273,-2.061473,0.7628,0.547
"157","IGLC7","hurdle",4.65903936638706e-05,-3.313024,-2.009686,1.303338,0.547
"60","EIF2AK3","hurdle",0.302711690401086,-2.649213,-1.99233,0.656883,0.547
"270","STARD5","hurdle",0.00307657032451248,-3.080438,-2.152365,0.928073,0.545
"257","SLC17A9","hurdle",0.0262484557574668,-3.136912,-2.343649,0.793263,0.545
"241","RP11-596C23.2","hurdle",0.0338857095681601,-2.83259,-2.065345,0.767245,0.545
"169","IGLV2-23","hurdle",9.03624198213511e-05,-3.191218,-1.859314,1.331904,0.545
"114","IGHV3-48","hurdle",2.10263938446881e-05,-3.173648,-1.42989,1.743758,0.544
"94","IGHA2","hurdle",2.29946133004843e-05,-3.056697,-1.499962,1.556735,0.544
"261","SMPDL3B","hurdle",0.00281356872156691,-3.123304,-2.341842,0.781462,0.543
"227","QPRT","hurdle",0.211848023516124,-2.68462,-2.138484,0.546136,0.543
"52","CYTH4","hurdle",0.564863089272393,-2.915247,-2.331338,0.583909,0.543
"281","TXNDC5","hurdle",0.000125047064023348,-3.212477,-2.298038,0.914439,0.542
"259","SLC38A5","hurdle",0.755794562089783,-3.150841,-2.631127,0.519714,0.542
"82","HIST1H2BJ","hurdle",0.000875919561422284,-2.949597,-2.143361,0.806236,0.541
"75","GLCCI1","hurdle",0.0103872230779554,-2.593774,-1.871708,0.722066,0.541
"234","RP11-160E2.6","hurdle",0.0610660696134194,-2.550103,-1.855945,0.694158,0.54
"167","IGLV2-14","hurdle",0.000705105089902598,-3.027179,-1.778084,1.249095,0.54
"84","HLA-DOB","hurdle",0.0723341079635617,-3.105594,-2.475713,0.629881,0.54
"15","ANKRD28","hurdle",0.0461355522158065,-1.310313,-0.787801,0.522512,0.54
"12","AF127936.3","hurdle",2.57538526003906e-08,-3.321144,-2.444438,0.876706,0.54
"248","RUFY4","hurdle",7.03364185020979e-06,-3.299788,-2.02862,1.271168,0.539
"158","IGLL1","hurdle",4.08703442986653e-05,-3.305621,-1.955422,1.350199,0.539
"135","IGKV1-8","hurdle",8.43587685733705e-06,-3.288539,-1.615318,1.673221,0.539
"129","IGHV5-51","hurdle",1.22250485956529e-05,-3.273814,-1.606788,1.667026,0.539
"107","IGHV3-13","hurdle",5.74077404640729e-06,-3.300672,-2.255168,1.045504,0.539
"104","IGHV1-69","hurdle",2.04553952198014e-05,-3.293712,-1.898695,1.395017,0.539
"10","AC104699.1","hurdle",3.39718440652279e-06,-3.312329,-2.434228,0.878101,0.539
"112","IGHV3-23","hurdle",0.000318496391841792,-3.242307,-2.093013,1.149294,0.538
"68","FCRL2","hurdle",0.00385424711300391,-3.268763,-2.49102,0.777743,0.538
"173","IGLV3-19","hurdle",0.00307869337035392,-3.161725,-2.097952,1.063773,0.536
"103","IGHV1-3","hurdle",0.00444912167851598,-3.15871,-2.161885,0.996825,0.536
"246","RP11-81H14.2","hurdle",0.0861458004261324,-3.203409,-2.68381,0.519599,0.535
"57","DOK3","hurdle",0.00235764670617776,-3.211481,-2.66654,0.544941,0.535
"28","CCR10","hurdle",0.264362734798342,-3.002099,-2.325259,0.67684,0.535
"245","RP11-707G18.1","hurdle",0.0171923216158466,-2.760177,-1.905313,0.854864,0.534
"90","IFI27L1","hurdle",0.13715553053908,-2.429263,-1.872075,0.557188,0.534
"48","CTA-292E10.6","hurdle",0.0460007343787272,-2.727348,-2.054762,0.672586,0.534
"249","SCNN1B","hurdle",0.0403926273816405,-3.020368,-2.306699,0.713669,0.533
"229","RASGRP3","hurdle",0.0327935058408756,-2.675753,-1.960405,0.715348,0.533
"88","HSPA1L","hurdle",7.67692484392718e-06,-3.198364,-1.967896,1.230468,0.533
"55","DNAAF1","hurdle",5.46252764924405e-05,-3.035905,-2.017661,1.018244,0.533
"233","RP11-1399P15.1","hurdle",0.377689819354398,-2.989872,-2.481917,0.507955,0.532
"194","LINC00582","hurdle",1,-3.321928,-2.804284,0.517644,0.532
"156","IGLC6","hurdle",1.86182655801405e-06,-3.320616,-2.262911,1.057705,0.532
"126","IGHV3OR16-6","hurdle",2.57538526003741e-08,-3.321928,-2.291376,1.030552,0.532
"122","IGHV3OR16-10","hurdle",2.57538526003765e-08,-3.321928,-2.432405,0.889523,0.532
"119","IGHV3-65","hurdle",2.57538526003911e-08,-3.321928,-2.484947,0.836981,0.532
"89","HSPA6","hurdle",1.18886446333946e-06,-1.512259,-0.281608,1.230651,0.532
"44","COBLL1","hurdle",0.0965556505194002,-2.18569,-1.672101,0.513589,0.532
"14","AMPD1","hurdle",0.000139924104412538,-3.321928,-2.671885,0.650043,0.532
"9","AC104024.1","hurdle",0.00774340015636069,-3.300554,-2.58373,0.716824,0.531
"225","PRR34-AS1","hurdle",0.196051176270146,-2.700203,-2.070317,0.629886,0.53
"214","PIK3CD-AS2","hurdle",0.124126390036123,-3.144984,-2.503726,0.641258,0.53
"43","CMB9-22P13.1","hurdle",0.183143289250006,-2.655866,-2.057599,0.598267,0.53
"22","C1orf186","hurdle",0.000491106880196744,-3.254555,-2.552459,0.702096,0.53
"258","SLC2A5","hurdle",0.373373699301547,-3.228376,-2.693189,0.535187,0.529
"162","IGLV1-44","hurdle",0.000138827857969687,-3.213959,-2.092327,1.121632,0.529
"18","BRCA2","hurdle",0.136943086858134,-3.095899,-2.535575,0.560324,0.529
"226","QPCT","hurdle",0.0651700066935598,-2.882594,-2.336286,0.546308,0.528
"120","IGHV3-7","hurdle",0.0020179946280231,-3.18667,-2.26854,0.91813,0.528
"33","CD70","hurdle",0.0385917001424186,-3.14619,-2.422665,0.723525,0.528
"127","IGHV4-39","hurdle",0.0818798809904372,-3.090561,-2.308119,0.782442,0.526
"85","HMCES","hurdle",0.0187585096697391,-2.347586,-1.709655,0.637931,0.526
"73","GAB1","hurdle",0.160425507237931,-2.743901,-2.175562,0.568339,0.526
"67","FCHSD2","hurdle",0.0330238409966655,-2.521625,-1.824196,0.697429,0.526
"150","IGKV3-20","hurdle",0.00331208779777194,-2.62232,-1.443195,1.179125,0.525
"121","IGHV3-74","hurdle",4.7196066089764e-05,-3.059726,-1.512718,1.547008,0.525
"7","AC074289.1","hurdle",0.0147886839063317,-3.081527,-2.340214,0.741313,0.525
"243","RP11-689B22.2","hurdle",1.86182655801239e-06,-3.321928,-2.582472,0.739456,0.524
"189","KIAA0513","hurdle",0.0647054290557873,-3.095414,-2.491221,0.604193,0.524
"181","IRF5","hurdle",0.0367371824718536,-3.117785,-2.556802,0.560983,0.524
"151","IGKV3D-11","hurdle",7.68888958465922e-06,-3.315808,-2.062133,1.253675,0.524
"146","IGKV2D-28","hurdle",1.86182655801426e-06,-3.321928,-1.842616,1.479312,0.524
"143","IGKV2-28","hurdle",1.86182655801426e-06,-3.321928,-1.937869,1.384059,0.524
"141","IGKV1OR-2","hurdle",1.86182655801327e-06,-3.321928,-2.351463,0.970465,0.524
"136","IGKV1-9","hurdle",7.2918463021841e-05,-3.313153,-2.385189,0.927964,0.524
"118","IGHV3-64","hurdle",1.86182655801469e-06,-3.321928,-2.284927,1.037001,0.524
"41","CH17-262H11.1","hurdle",4.28654551333342e-05,-3.312614,-1.622529,1.690085,0.524
"40","CH17-224D4.2","hurdle",5.14651676213042e-05,-3.313386,-2.285831,1.027555,0.524
"39","CH17-224D4.1","hurdle",0.000139924104412518,-3.321928,-2.603047,0.718881,0.524
"38","CH17-212P11.5","hurdle",0.0119304272932776,-3.321928,-2.60781,0.714118,0.524
"13","AL122127.25","hurdle",1.8618265580133e-06,-3.321928,-2.426923,0.895005,0.524
"278","TXLNB","hurdle",0.17766721176851,-3.148314,-2.623628,0.524686,0.523
"260","SMOC1","hurdle",0.00221879976168144,-3.303084,-2.700471,0.602613,0.523
"247","RP5-887A10.1","hurdle",0.0794249283324596,-3.264587,-2.682639,0.581948,0.523
"242","RP11-611O2.1","hurdle",0.00447639996516352,-3.302138,-2.57333,0.728808,0.523
"179","IGLV8-61","hurdle",0.0138452848319192,-3.255688,-2.01662,1.239068,0.523
"174","IGLV3-22","hurdle",2.1439390952795e-05,-3.275459,-2.551434,0.724025,0.523
"106","IGHV3-11","hurdle",0.000888870343950088,-3.275545,-2.544785,0.73076,0.523
"3","AC007386.4","hurdle",0.00802521278719337,-3.299598,-2.62927,0.670328,0.523
"272","TBCEL","hurdle",0.0224262613834839,-3.138745,-2.557145,0.5816,0.522
"271","TAS1R3","hurdle",0.0680552327067987,-3.28281,-2.770257,0.512553,0.522
"269","STAP1","hurdle",0.024376534755995,-3.270823,-2.681825,0.588998,0.522
"190","KIAA1524","hurdle",0.0964753448917736,-3.123754,-2.602778,0.520976,0.522
"168","IGLV2-18","hurdle",0.0228202277884911,-3.265971,-2.644832,0.621139,0.522
"144","IGKV2-30","hurdle",0.0065584199503371,-3.221996,-1.910402,1.311594,0.522
"54","DLL4","hurdle",0.110627769631139,-2.625743,-1.962564,0.663179,0.522
"29","CCR2","hurdle",0.00362761730443714,-3.242706,-2.574039,0.668667,0.522
"239","RP11-446N19.1","hurdle",0.0165542780746527,-3.259998,-2.751679,0.508319,0.521
"26","CCDC144A","hurdle",0.0883610529811838,-3.112446,-2.449181,0.663265,0.521
"213","PIF1","hurdle",0.0413003165238016,-3.228279,-2.628997,0.599282,0.52
"197","LRRC16A","hurdle",0.0150369415110552,-2.789081,-2.133204,0.655877,0.52
"6","AC026202.3","hurdle",0.0121846625011175,-3.255601,-2.654324,0.601277,0.52
"4","AC022182.3","hurdle",0.00635255524424709,-3.222381,-2.559174,0.663207,0.52
"211","PAQR6","hurdle",0.0176328291919319,-3.198875,-2.522401,0.676474,0.518
"202","MEF2C-AS1","hurdle",0.116021675068025,-3.184949,-2.621196,0.563753,0.518
"192","KLHL6","hurdle",0.0468255285741785,-2.883105,-2.199379,0.683726,0.518
"61","ELL","hurdle",0.0142123117373784,-2.628824,-2.036257,0.592567,0.518
"20","C12orf4","hurdle",0.16428752459959,-2.882987,-2.373885,0.509102,0.518
"176","IGLV3-27","hurdle",0.026666666806451,-3.30672,-2.724869,0.581851,0.516
"175","IGLV3-25","hurdle",0.0424536559831238,-3.301094,-2.523246,0.777848,0.516
"161","IGLV1-41","hurdle",0.000139924104412511,-3.321928,-2.674593,0.647335,0.516
"145","IGKV2D-26","hurdle",0.000139924104412454,-3.321928,-2.462534,0.859394,0.516
"140","IGKV1D-8","hurdle",0.00013992410441226,-3.321928,-2.38223,0.939698,0.516
"138","IGKV1D-33","hurdle",0.000139924104412519,-3.321928,-2.430498,0.89143,0.516
"137","IGKV1D-16","hurdle",0.000139924104412425,-3.321928,-2.785805,0.536123,0.516
"134","IGKV1-6","hurdle",0.00050147866637343,-3.31077,-2.698858,0.611912,0.516
"125","IGHV3OR16-15","hurdle",0.0119304272932704,-3.321928,-2.792076,0.529852,0.516
"123","IGHV3OR16-11","hurdle",0.000139924104412468,-3.321928,-2.784265,0.537663,0.516
"117","IGHV3-62","hurdle",0.00013992410441226,-3.321928,-2.799404,0.522524,0.516
"116","IGHV3-60","hurdle",0.000139924104412518,-3.321928,-2.655638,0.66629,0.516
"111","IGHV3-22","hurdle",0.000139924104412424,-3.321928,-2.609443,0.712485,0.516
"109","IGHV3-16","hurdle",0.000139924104412425,-3.321928,-2.588678,0.73325,0.516
"76","GMPPA","hurdle",0.00813756865272288,-2.361688,-1.755138,0.60655,0.516
"50","CTD-2509G16.5","hurdle",0.000139924104412248,-3.319831,-2.779346,0.540485,0.516
"11","AC136616.2","hurdle",0.000139924104412447,-3.321928,-2.6576,0.664328,0.516
"128","IGHV4-59","hurdle",0.00238796895802268,-3.27006,-2.130449,1.139611,0.515
"105","IGHV1-69-2","hurdle",0.000501478666373514,-3.312876,-2.345186,0.96769,0.515
"95","IGHD","hurdle",0.0498240542068217,-3.24484,-2.562957,0.681883,0.515
"80","HIST1H2AE","hurdle",2.65333350972008e-06,-2.863723,-2.06106,0.802663,0.515
"23","C4orf47","hurdle",0.00562241477107546,-3.133049,-2.375295,0.757754,0.515
"274","TLR10","hurdle",0.0421981002149991,-3.252745,-2.742267,0.510478,0.514
"204","MERTK","hurdle",0.0225977152952166,-3.060136,-2.366768,0.693368,0.514
"195","LINC00877","hurdle",0.0962429033427116,-3.265814,-2.66607,0.599744,0.514
"166","IGLV2-11","hurdle",0.000121557976472923,-3.249903,-2.041419,1.208484,0.514
"152","IGKV3D-20","hurdle",0.0373459120606066,-3.247206,-2.612005,0.635201,0.514
"1","AC000068.5","hurdle",0.00120750837868679,-3.292251,-2.679646,0.612605,0.514
"149","IGKV3-15","hurdle",0.0867825741339423,-3.165097,-2.403178,0.761919,0.513
"210","PAPD7","hurdle",0.024948283437588,-2.883771,-2.344617,0.539154,0.511
"286","ZNF547","hurdle",0.00180422517077362,-3.201955,-2.664171,0.537784,0.51
"244","RP11-69E11.4","hurdle",0.00345143651104573,-3.145859,-2.547386,0.598473,0.508
"232","RNF133","hurdle",0.0119304272932718,-3.314748,-2.800247,0.514501,0.508
"177","IGLV5-48","hurdle",0.0119304272932661,-3.321928,-2.741245,0.580683,0.508
"172","IGLV3-10","hurdle",9.80476991702669e-09,-3.047233,-1.725176,1.322057,0.508
"164","IGLV1-50","hurdle",0.0119304272932637,-3.321928,-2.700984,0.620944,0.508
"160","IGLV1-40","hurdle",0.0209691214647541,-3.295337,-2.097169,1.198168,0.508
"147","IGKV2D-30","hurdle",0.0119304272932706,-3.321928,-2.592841,0.729087,0.508
"142","IGKV2-26","hurdle",0.0119304272932637,-3.321928,-2.672307,0.649621,0.508
"115","IGHV3-49","hurdle",0.0424536559831331,-3.296844,-2.244049,1.052795,0.508
"240","RP11-545M17.1","hurdle",0.0197875648613709,-3.30167,-2.800247,0.501423,0.507
"16","AP000866.1","hurdle",0.0304578232249352,-3.292683,-2.769078,0.523605,0.507
"5","AC025811.3","hurdle",0.00240028974240617,-3.298601,-2.663192,0.635409,0.507
"2","AC006129.1","hurdle",0.0225631932516273,-3.302315,-2.800247,0.502068,0.507
"163","IGLV1-47","hurdle",0.0405947677484304,-3.276758,-2.728541,0.548217,0.506
"83","HIST1H3H","hurdle",0.0243664223392227,-2.906166,-2.397723,0.508443,0.506
"74","GABRB2","hurdle",0.001681522154726,-3.261493,-2.663192,0.598301,0.506
"238","RP11-350N15.5","hurdle",0.0268344405205863,-2.979117,-2.432502,0.546615,0.504
"79","HIF3A","hurdle",0.000114610907357034,-3.16798,-2.663192,0.504788,0.502
"24","C8orf44","hurdle",0.00688732726605032,-3.019589,-2.411696,0.607893,0.501
