"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.T_cells","log2fold_change","Auc"
"580","USP15","hurdle",2.28056289416552e-64,-1.6966801,-0.8708644,0.8258157,0.52
"523","STX11","hurdle",1.23870353365946e-12,-2.75379,-2.076406,0.677384,0.52
"469","RTKN2","hurdle",5.92488025629634e-31,-3.070469,-2.08667,0.983799,0.52
"453","RP11-325F22.2","hurdle",3.9770898897064e-12,-3.035812,-2.298131,0.737681,0.52
"404","PRKCQ","hurdle",1.12110901228294e-19,-3.298023,-2.592396,0.705627,0.52
"401","PRKACB","hurdle",4.91227644703987e-29,-2.642893,-1.742891,0.900002,0.52
"396","PPP1R2","hurdle",1.12816755541285e-100,-0.6864646,-0.1665008,0.5199638,0.52
"357","NLRC3","hurdle",3.78605505598607e-20,-3.29406,-2.514693,0.779367,0.52
"298","LAG3","hurdle",6.10574778390483e-22,-3.032697,-2.196269,0.836428,0.52
"292","KLRC2","hurdle",8.20771692772853e-21,-3.301983,-2.500109,0.801874,0.52
"59","BTLA","hurdle",5.13780352355227e-16,-3.195518,-2.402415,0.793103,0.52
"26","AOAH","hurdle",5.34229186525264e-14,-3.010365,-2.270937,0.739428,0.52
"536","TLE4","hurdle",5.34224021145679e-26,-2.231655,-1.512175,0.71948,0.519
"472","S1PR4","hurdle",6.7730935348256e-17,-3.199055,-2.50374,0.695315,0.519
"431","RBM38","hurdle",5.09255838965216e-19,-2.892438,-2.1257,0.766738,0.519
"384","PIK3CD","hurdle",2.92954976604358e-16,-3.171821,-2.485311,0.68651,0.519
"313","LINC00239","hurdle",5.41461003114369e-21,-3.30537,-2.506078,0.799292,0.519
"264","IL27RA","hurdle",1.65430376776743e-22,-2.667989,-1.910196,0.757793,0.519
"260","IL16","hurdle",8.37848899400139e-11,-2.937682,-2.302499,0.635183,0.519
"256","IKZF2","hurdle",2.41164375585664e-26,-3.002416,-2.053856,0.94856,0.519
"190","FOXN2","hurdle",1.37875131363971e-28,-2.663365,-1.795811,0.867554,0.519
"69","CASS4","hurdle",5.93045933199023e-16,-3.223466,-2.477618,0.745848,0.519
"1","AAK1","hurdle",9.6891282092118e-38,-2.148894,-1.378221,0.770673,0.519
"576","TTN","hurdle",8.07701164100301e-15,-3.158872,-2.438303,0.720569,0.518
"557","TRAF1","hurdle",3.16644192773014e-13,-3.045803,-2.36908,0.676723,0.518
"549","TNFRSF4","hurdle",2.9969682413797e-12,-2.576011,-1.848194,0.727817,0.518
"477","SASH3","hurdle",9.58055290651815e-12,-3.098686,-2.473986,0.6247,0.518
"462","RP5-1028K7.2","hurdle",5.72809412462431e-18,-3.299594,-2.613051,0.686543,0.518
"428","RASGEF1B","hurdle",6.93502340967758e-17,-2.597,-1.893054,0.703946,0.518
"395","PPP1R16B","hurdle",6.38146267765363e-19,-2.95229,-2.174443,0.777847,0.518
"381","PFKFB3","hurdle",3.59677747901745e-30,-2.141725,-1.371795,0.76993,0.518
"380","PDE7A","hurdle",6.72373124484908e-22,-2.557754,-1.757492,0.800262,0.518
"353","NELL2","hurdle",2.19091040866438e-25,-3.072529,-2.282765,0.789764,0.518
"330","MAF","hurdle",2.94190036219624e-23,-2.335552,-1.605946,0.729606,0.518
"241","HS3ST3B1","hurdle",2.07884445929808e-20,-3.245261,-2.452129,0.793132,0.518
"201","GIMAP2","hurdle",3.51616373199385e-39,-2.66421,-1.755893,0.908317,0.518
"155","DTHD1","hurdle",4.12778719647108e-21,-3.315241,-2.613103,0.702138,0.518
"93","CD4","hurdle",4.60056193975826e-13,-2.699379,-2.039081,0.660298,0.518
"25","ANXA2R","hurdle",2.00516418604004e-19,-2.941799,-2.15796,0.783839,0.518
"14","ADAM8","hurdle",1.32814424669395e-18,-3.033986,-2.315733,0.718253,0.518
"573","TSPAN32","hurdle",3.71447005684186e-17,-3.267094,-2.652864,0.61423,0.517
"342","MIR155HG","hurdle",3.5141250501513e-10,-2.870587,-2.178217,0.69237,0.517
"337","MCOLN2","hurdle",1.82785246532099e-15,-3.192569,-2.479532,0.713037,0.517
"318","LINC01550","hurdle",4.03209236171497e-18,-3.21978,-2.535594,0.684186,0.517
"180","FASLG","hurdle",3.05408118007188e-16,-3.314781,-2.662834,0.651947,0.517
"128","CSK","hurdle",7.02342985665933e-20,-2.564838,-1.837011,0.727827,0.517
"29","APBA2","hurdle",4.55219042750007e-16,-3.256934,-2.616986,0.639948,0.517
"2","ABRACL","hurdle",1.2884653653921e-71,-0.9495888,-0.4402692,0.5093196,0.517
"413","PTK2B","hurdle",7.57127746705524e-17,-2.854513,-2.184432,0.670081,0.516
"406","PRMT9","hurdle",1.2737169258326e-20,-2.633195,-1.855838,0.777357,0.516
"332","MALT1","hurdle",1.90147506245631e-25,-2.681721,-1.886804,0.794917,0.516
"286","KCNA3","hurdle",7.88992515323237e-16,-3.294415,-2.616485,0.67793,0.516
"237","HLA-F","hurdle",1.02648967986371e-34,-1.3569115,-0.8192903,0.5376212,0.516
"200","GFI1","hurdle",6.72992387188083e-20,-3.321928,-2.732626,0.589302,0.516
"182","FCRL6","hurdle",4.18861714001629e-18,-3.297146,-2.629454,0.667692,0.516
"174","FAM122C","hurdle",3.94223118238682e-18,-3.080362,-2.341339,0.739023,0.516
"163","EOMES","hurdle",1.00368637607115e-16,-3.313619,-2.672257,0.641362,0.516
"546","TNFRSF18","hurdle",1.10949170622749e-35,-2.493733,-1.585478,0.908255,0.515
"447","RP1-313I6.12","hurdle",6.99665217796579e-24,-2.431037,-1.664581,0.766456,0.515
"391","PLEKHA2","hurdle",1.69738073106148e-15,-2.722399,-2.036934,0.685465,0.515
"348","NABP1","hurdle",1.77082297294107e-29,-1.84577,-1.220059,0.625711,0.515
"317","LINC01281","hurdle",1.78071163989333e-17,-3.321928,-2.699057,0.622871,0.515
"314","LINC00426","hurdle",9.91708538250921e-15,-3.285181,-2.689515,0.595666,0.515
"289","KLHL6","hurdle",6.02583043998535e-11,-3.049268,-2.446148,0.60312,0.515
"284","JMY","hurdle",1.37382958442489e-24,-2.562905,-1.80647,0.756435,0.515
"235","HIST1H4C","hurdle",2.48578149074507e-41,-1.1484425,-0.6407585,0.507684,0.515
"228","HAVCR2","hurdle",2.07211328813828e-10,-2.940225,-2.334434,0.605791,0.515
"195","G3BP2","hurdle",1.17039152305058e-76,-1.4866978,-0.7484246,0.7382732,0.515
"107","CDC14A","hurdle",2.05784884719832e-19,-2.683196,-1.944466,0.73873,0.515
"64","CARD11","hurdle",1.63133261295735e-11,-3.23334,-2.698396,0.534944,0.515
"48","ATP8A1","hurdle",6.81286020062027e-19,-2.944817,-2.203026,0.741791,0.515
"600","ZNF831","hurdle",7.22270894271488e-14,-3.297113,-2.762092,0.535021,0.514
"593","ZEB2","hurdle",2.12720237121896e-23,-1.917075,-1.354963,0.562112,0.514
"574","TSPYL2","hurdle",6.64084066878617e-62,-1.5579774,-0.8158834,0.742094,0.514
"563","TRBV20-1","hurdle",6.37294459946659e-17,-3.316859,-2.479651,0.837208,0.514
"474","SAMD9","hurdle",1.94089833963886e-37,-2.200023,-1.408706,0.791317,0.514
"464","RP6-91H8.3","hurdle",8.5150590699717e-12,-3.2161,-2.596085,0.620015,0.514
"461","RP3-492J12.2","hurdle",1.16472244268475e-15,-3.321928,-2.754152,0.567776,0.514
"434","RCSD1","hurdle",4.33818659328826e-12,-2.483092,-1.939956,0.543136,0.514
"379","PDE4D","hurdle",2.60240992462232e-19,-2.702783,-1.959316,0.743467,0.514
"282","JAKMIP1","hurdle",2.06475630900252e-15,-3.292532,-2.712726,0.579806,0.514
"277","ITGB2-AS1","hurdle",7.11259167248972e-15,-3.235473,-2.579924,0.655549,0.514
"254","IGLV2-8","hurdle",3.26518848254435e-11,-2.977114,-2.193721,0.783393,0.514
"250","IFI44L","hurdle",1.17017280925412e-27,-1.692366,-1.099551,0.592815,0.514
"80","CCR4","hurdle",4.41739708629987e-18,-3.318876,-2.737965,0.580911,0.514
"60","BTN3A1","hurdle",1.30502304441491e-32,-2.618611,-1.746649,0.871962,0.514
"49","ATXN7","hurdle",2.90181611556224e-30,-2.350179,-1.580207,0.769972,0.514
"13","ACRC","hurdle",1.48458261463053e-14,-3.224889,-2.600799,0.62409,0.514
"596","ZNF101","hurdle",7.58910967800959e-19,-2.970207,-2.289415,0.680792,0.513
"595","ZFYVE28","hurdle",3.4700135919813e-13,-3.072135,-2.480866,0.591269,0.513
"582","VAV1","hurdle",2.27682230193018e-10,-3.205737,-2.704296,0.501441,0.513
"579","ULBP2","hurdle",1.83350482484743e-12,-3.169638,-2.579899,0.589739,0.513
"425","RALGAPA1","hurdle",5.8485599063455e-59,-1.740201,-0.9878357,0.7523653,0.513
"397","PPP2R2B","hurdle",1.31625899013843e-11,-3.15794,-2.595981,0.561959,0.513
"359","NLRP3","hurdle",2.12307668849363e-07,-3.002665,-2.444828,0.557837,0.513
"261","IL18R1","hurdle",6.71670546086888e-14,-3.16535,-2.545868,0.619482,0.513
"252","IGHV3-21","hurdle",1.37056901168849e-08,-3.005743,-2.421711,0.584032,0.513
"229","HBB","hurdle",2.38485226323391e-10,-3.161345,-2.447452,0.713893,0.513
"215","GPR18","hurdle",5.23211982405198e-12,-3.267468,-2.70579,0.561678,0.513
"206","GLIPR2","hurdle",8.96106351134855e-16,-2.31712,-1.764391,0.552729,0.513
"192","FXYD7","hurdle",3.51238066117559e-10,-3.255336,-2.74673,0.508606,0.513
"165","EPHA1-AS1","hurdle",7.78496363470889e-15,-3.254963,-2.704873,0.55009,0.513
"140","CYTH4","hurdle",4.35268901635389e-10,-3.062202,-2.523164,0.539038,0.513
"125","CPNE7","hurdle",3.91156283200927e-14,-3.172015,-2.582332,0.589683,0.513
"81","CCR5","hurdle",6.72089391764716e-14,-3.290966,-2.752406,0.53856,0.513
"72","CCDC88B","hurdle",5.66289276306311e-14,-2.989486,-2.386171,0.603315,0.513
"18","AIM2","hurdle",6.1754273530899e-10,-3.094515,-2.542907,0.551608,0.513
"590","ZBTB1","hurdle",4.92019830351192e-33,-2.459547,-1.704548,0.754999,0.512
"583","VPS37B","hurdle",9.64754825199277e-48,-1.926992,-1.147003,0.779989,0.512
"507","SNAI3","hurdle",1.22530384251663e-10,-3.277366,-2.759834,0.517532,0.512
"326","LTA","hurdle",1.69862680092388e-13,-3.300422,-2.762131,0.538291,0.512
"296","KLRK1","hurdle",1.88930096099791e-14,-3.321928,-2.762416,0.559512,0.512
"294","KLRF1","hurdle",1.93270980846695e-13,-3.276513,-2.659866,0.616647,0.512
"139","CYLD","hurdle",4.97659404051701e-34,-2.061185,-1.380303,0.680882,0.512
"110","CHD2","hurdle",1.53261105982204e-66,-1.4420956,-0.7746349,0.6674607,0.512
"27","AP003774.1","hurdle",2.37914646017789e-13,-3.306581,-2.742903,0.563678,0.512
"8","AC017002.1","hurdle",5.08887183078252e-12,-3.259664,-2.69757,0.562094,0.512
"3","AC002331.1","hurdle",1.88930096099744e-14,-3.318853,-2.772603,0.54625,0.512
"581","UTS2","hurdle",1.46494350907604e-12,-3.287346,-2.753612,0.533734,0.511
"442","RIC3","hurdle",1.67040406525621e-14,-2.748286,-2.18562,0.562666,0.511
"262","IL2","hurdle",3.63548307358957e-12,-3.31199,-2.622888,0.689102,0.511
"187","FLT3LG","hurdle",3.30704542044735e-28,-2.589729,-1.835983,0.753746,0.511
"111","CHORDC1","hurdle",7.88709504670697e-56,-1.5434558,-0.8269195,0.7165363,0.511
"5","AC006369.2","hurdle",1.88930096099799e-14,-3.321928,-2.819245,0.502683,0.511
"575","TTC39C","hurdle",1.24274425988045e-30,-2.492722,-1.732058,0.760664,0.51
"566","TRBV7-9","hurdle",1.23437224289146e-12,-3.321928,-2.683602,0.638326,0.51
"560","TRAV13-1","hurdle",4.97331917431795e-12,-3.321928,-2.800206,0.521722,0.51
"538","TMEM154","hurdle",7.87714526300683e-14,-2.938615,-2.34301,0.595605,0.51
"524","SUPT3H","hurdle",1.05177921493205e-18,-2.867611,-2.187667,0.679944,0.51
"516","ST8SIA4","hurdle",4.24773406388804e-09,-2.725632,-2.211307,0.514325,0.51
"444","RNF166","hurdle",2.15228208655025e-15,-2.795638,-2.19929,0.596348,0.51
"374","PCED1B","hurdle",6.28289930767114e-15,-3.006101,-2.388307,0.617794,0.51
"240","HPGD","hurdle",9.81321990495582e-11,-3.120356,-2.570893,0.549463,0.51
"196","GABARAPL1","hurdle",4.48165197301312e-44,-1.774024,-1.083595,0.690429,0.51
"184","FGD3","hurdle",1.9333961800282e-11,-2.947979,-2.405359,0.54262,0.51
"519","STK10","hurdle",8.76735526809e-15,-2.661613,-2.074359,0.587254,0.509
"500","SLC16A7","hurdle",1.35531568200596e-12,-2.861715,-2.318258,0.543457,0.509
"354","NFATC2","hurdle",1.30923537646434e-17,-2.47694,-1.866966,0.609974,0.509
"322","LPIN2","hurdle",5.3054986432682e-32,-2.243903,-1.5308,0.713103,0.509
"320","LMNB1","hurdle",4.58138141202303e-14,-2.963826,-2.365305,0.598521,0.509
"185","FGFBP2","hurdle",1.68217606388096e-11,-3.309748,-2.758648,0.5511,0.509
"156","DUSP10","hurdle",8.78124724288779e-30,-2.328384,-1.634272,0.694112,0.509
"598","ZNF430","hurdle",2.77285941624851e-29,-2.595348,-1.888146,0.707202,0.508
"565","TRBV7-2","hurdle",2.31019455921359e-09,-3.309285,-2.74183,0.567455,0.508
"529","TBC1D4","hurdle",1.68018619119435e-26,-2.413336,-1.724414,0.688922,0.508
"410","PTGDR","hurdle",6.51252800605786e-10,-3.205022,-2.704902,0.50012,0.508
"204","GLCCI1","hurdle",3.55811920016933e-18,-2.770842,-2.133352,0.63749,0.508
"122","CNTRL","hurdle",1.98771975132163e-23,-2.617794,-1.896075,0.721719,0.508
"42","ARHGEF1","hurdle",2.35566055156486e-38,-1.950942,-1.221498,0.729444,0.508
"564","TRBV5-1","hurdle",9.26574910066611e-08,-3.312993,-2.761089,0.551904,0.507
"456","RP11-47L3.1","hurdle",6.14111329289478e-12,-3.106664,-2.583035,0.523629,0.507
"422","RAB8B","hurdle",1.10399037094668e-23,-2.460514,-1.816937,0.643577,0.507
"405","PRKX","hurdle",1.95619439345105e-19,-2.784462,-2.202215,0.582247,0.507
"350","NCK2","hurdle",2.716395702686e-18,-2.421088,-1.842711,0.578377,0.507
"340","METRNL","hurdle",9.08265203201248e-22,-2.440297,-1.765972,0.674325,0.507
"166","EPOR","hurdle",2.33559336518729e-16,-2.874758,-2.236189,0.638569,0.507
"148","DGKA","hurdle",5.78539497215927e-15,-2.792151,-2.246625,0.545526,0.507
"338","MDFIC","hurdle",4.20952487776517e-15,-2.556136,-2.030009,0.526127,0.506
"319","LINS1","hurdle",2.00658600076305e-22,-2.707337,-2.058586,0.648751,0.506
"233","HECA","hurdle",1.55377596027356e-26,-2.462683,-1.788662,0.674021,0.506
"28","AP3M2","hurdle",5.99427566558239e-35,-2.457908,-1.687724,0.770184,0.506
"468","RPS6KA3","hurdle",8.55700826807154e-17,-2.391772,-1.873762,0.51801,0.505
"343","MOB4","hurdle",1.31513965658253e-58,-1.826118,-1.094976,0.731142,0.505
"234","HELB","hurdle",2.17008648386836e-27,-2.494946,-1.831053,0.663893,0.505
"114","CKS2","hurdle",1.09779797371666e-41,-1.059452,-0.557437,0.502015,0.505
"73","CCDC88C","hurdle",5.25914425890315e-17,-2.63529,-2.069104,0.566186,0.505
"364","ODF2L","hurdle",2.73598093210021e-51,-1.5508424,-0.9569557,0.5938867,0.504
"213","GPR155","hurdle",1.09138546780744e-12,-2.885457,-2.363895,0.521562,0.504
"207","GLS","hurdle",1.08265795885063e-26,-1.932894,-1.406507,0.526387,0.504
"58","BTG3","hurdle",1.06479640724602e-37,-1.851654,-1.241554,0.6101,0.504
"45","ASTE1","hurdle",4.44098083169838e-12,-2.883048,-2.363807,0.519241,0.504
"199","GCH1","hurdle",9.27160222844827e-16,-2.674669,-2.160494,0.514175,0.503
"394","PPM1K","hurdle",1.14768320611642e-21,-2.137475,-1.565218,0.572257,0.502
"355","NFKB1","hurdle",2.22727157974675e-33,-2.045371,-1.423174,0.622197,0.502
"285","JOSD1","hurdle",1.77654910394072e-26,-2.217576,-1.642677,0.574899,0.501
"134","CXCL13","hurdle",3.21512762231877e-10,-2.078668,-1.493448,0.58522,0.501
"421","RAB27A","hurdle",1.01602876864669e-27,-2.228293,-1.662729,0.565564,0.5
"344","MPZL3","hurdle",4.88262392883238e-24,-2.652462,-2.111908,0.540554,0.5
"415","PTPN4","hurdle",7.92506566339165e-18,-2.491779,-1.962786,0.528993,0.499
"393","POLR1E","hurdle",6.37753475603964e-23,-2.624885,-2.017825,0.60706,0.499
"175","FAM129A","hurdle",8.6286835427489e-48,-1.711374,-1.127803,0.583571,0.499
"142","DBF4","hurdle",7.60219534774349e-17,-2.566409,-2.053412,0.512997,0.499
"15","ADD3","hurdle",3.05084575445484e-25,-1.880742,-1.37524,0.505502,0.499
"508","SNRPN","hurdle",4.14368659633505e-32,-1.829944,-1.294846,0.535098,0.498
"426","RASA2","hurdle",8.43057033963859e-22,-2.221636,-1.674259,0.547377,0.498
"407","PSMB8-AS1","hurdle",5.63262475776011e-21,-2.456675,-1.924793,0.531882,0.498
"297","KPNA2","hurdle",4.74045886634524e-33,-1.791169,-1.25695,0.534219,0.498
"149","DLGAP1-AS1","hurdle",3.40874610412591e-19,-2.638393,-2.09211,0.546283,0.498
"147","DENND2D","hurdle",3.72661052493076e-31,-2.33468,-1.728588,0.606092,0.498
"144","DEDD2","hurdle",9.85239806930834e-40,-1.952691,-1.334482,0.618209,0.498
"133","CWF19L2","hurdle",4.54637785633839e-21,-2.41982,-1.883514,0.536306,0.498
"517","STAM","hurdle",2.45516851153181e-17,-2.623289,-2.112191,0.511098,0.497
"432","RBPJ","hurdle",3.97194355863074e-64,-1.3269622,-0.7958709,0.5310913,0.497
"515","SSH2","hurdle",5.80330987807245e-25,-2.185272,-1.656164,0.529108,0.496
"383","PHF20","hurdle",2.33844910792782e-61,-1.397101,-0.8578444,0.5392566,0.495
"120","CMC2","hurdle",4.46392253923249e-32,-1.891785,-1.355392,0.536393,0.495
"115","CLDND1","hurdle",1.64388946728038e-32,-1.839284,-1.28286,0.556424,0.495
"230","HCG18","hurdle",1.62211583414942e-23,-2.16886,-1.660955,0.507905,0.493
"78","CCND3","hurdle",1.00689823744785e-35,-1.67281,-1.157533,0.515277,0.493
"376","PDCL3","hurdle",4.12491407204886e-45,-1.728149,-1.174216,0.553933,0.491
"46","ATF7IP","hurdle",4.53575145358406e-26,-2.025279,-1.4971,0.528179,0.489
"119","CMC1","hurdle",4.0340752365251e-39,-1.730235,-1.229532,0.500703,0.475
